,Cluster1,Cluster2,Cluster3,Cluster4
10,(((hyp:tok:room AND hyp:tok:two) OR hyp:tok:magazine) AND (NOT pre:tok:in)),(((pre:tok:lost OR pre:tok:moon) OR hyp:tok:strike) OR hyp:tok:inline),((hyp:tok:on AND hyp:tok:swimsuit) OR pre:tok:fetch),(hyp:tok:basketball OR pre:tok:runner)
11,((NOT pre:tok:sitting) AND (hyp:tok:asleep OR hyp:tok:sitting)),((((pre:tok:cement AND pre:tok:his) OR hyp:tok:interested) OR hyp:tok:pulled) AND (NOT pre:tok:people)),((hyp:tok:puddle OR pre:tok:late) OR hyp:tok:trail),((((hyp:tok:curly OR hyp:tok:khaki) OR hyp:tok:cute) AND oth:overlap:overlap50) OR hyp:tok:push)
12,((NOT pre:tok:is) AND (hyp:tok:is AND hyp:tok:park)),(hyp:tok:on OR hyp:tok:playing),((NOT pre:tok:looking) AND (hyp:tok:outside OR oth:overlap:overlap25)),((((hyp:tok:hillside OR hyp:tok:walkway) OR hyp:tok:acoustic) OR hyp:tok:balding) OR hyp:tok:obstacle)
13,(((NOT pre:tok:and) AND (pre:tok:with OR pre:tok:working)) OR hyp:tok:no),((((hyp:tok:conversation OR pre:tok:lying) AND pre:tok:in) OR hyp:tok:traditional) AND (NOT pre:tok:young)),(((hyp:tok:beige OR pre:tok:injured) OR hyp:tok:brushing) OR hyp:tok:name),(hyp:tok:than OR pre:tok:males)
14,((hyp:tok:at OR hyp:tok:in) OR hyp:tok:running),(((hyp:tok:saw OR pre:tok:muddy) OR hyp:tok:handing) AND (NOT hyp:tok:is)),(hyp:tok:fishing OR pre:tok:decorative),((((NOT hyp:tok:for) AND (hyp:tok:people OR oth:overlap:overlap75)) OR hyp:tok:near) AND (NOT hyp:tok:running))
15,(hyp:tok:protective OR hyp:tok:shoot),((NOT pre:tok:to) AND (hyp:tok:standing AND pre:tok:sitting)),((hyp:tok:whilst OR pre:tok:pumpkin) OR hyp:tok:merchandise),((NOT oth:overlap:overlap50) AND (hyp:tok:inside OR hyp:tok:sitting))
16,(((pre:tok:night AND pre:tok:walking) OR hyp:tok:guitars) OR hyp:tok:lamp),(((NOT oth:overlap:overlap50) AND hyp:tok:sleeping) OR hyp:tok:sleep),((((hyp:tok:chatting OR pre:tok:kite) AND hyp:tok:standing) OR hyp:tok:wading) AND pre:tok:woman),((((hyp:tok:name OR pre:tok:pumpkin) AND hyp:tok:boy) OR hyp:tok:sunlight) AND (NOT pre:tok:talking))
17,((((hyp:tok:eating OR pre:tok:microphone) OR hyp:tok:laying) OR pre:tok:bicycles) OR hyp:tok:television),((((pre:tok:indoor AND pre:tok:young) OR hyp:tok:ears) OR hyp:tok:move) AND (NOT pre:tok:people)),(hyp:tok:brushes OR hyp:tok:rollerblading),(hyp:tok:you AND pre:tok:-)
18,(hyp:tok:water AND pre:tok:swimming),((((hyp:tok:sitting AND pre:tok:walks) OR hyp:tok:audience) AND hyp:tok:sitting) OR hyp:tok:outer),((((hyp:tok:friends OR hyp:tok:tall) OR hyp:tok:trying) OR hyp:tok:marathon) OR hyp:tok:professional),(((hyp:tok:bottles OR pre:tok:poker) AND hyp:tok:is) AND (NOT oth:overlap:overlap50))
19,((((hyp:tok:rope OR pre:tok:uniformed) AND hyp:tok:are) OR hyp:tok:sandwiches) OR hyp:tok:finishing),(((pre:tok:its OR pre:tok:riding) OR hyp:tok:shooting) OR pre:tok:stunt),((hyp:tok:women AND pre:tok:man) OR hyp:tok:international),(hyp:tok:park AND pre:tok:water)
20,(((NOT pre:tok:and) AND (hyp:tok:at OR pre:tok:bike)) OR hyp:tok:green),(hyp:tok:rollerskating OR hyp:tok:surfing),(hyp:tok:is OR pre:tok:in),(hyp:tok:couple AND pre:tok:countryside)
21,(hyp:tok:friends OR hyp:tok:shopping),(hyp:tok:and AND oth:overlap:overlap75),((((hyp:tok:outdoors OR hyp:tok:vehicle) OR hyp:tok:moving) OR hyp:tok:feet) OR hyp:tok:been),((hyp:tok:dancing OR hyp:tok:running) OR hyp:tok:driving)
22,(((NOT pre:tok:with) AND (hyp:tok:displaying OR pre:tok:army)) AND (NOT pre:tok:one)),(hyp:tok:kid AND pre:tok:hiding),(((hyp:tok:bath OR hyp:tok:inside) AND pre:tok:and) OR hyp:tok:video),(hyp:tok:visiting AND pre:tok:people)
23,((hyp:tok:preparing AND pre:tok:from) OR pre:tok:upset),(((hyp:tok:some AND hyp:tok:this) OR pre:tok:sister) OR pre:tok:pick),(hyp:tok:outside OR hyp:tok:something),((hyp:tok:mural AND pre:tok:with) OR hyp:tok:butterfly)
24,((NOT hyp:tok:are) AND (hyp:tok:humans OR pre:tok:pick)),((hyp:tok:shoot OR hyp:tok:steering) OR hyp:tok:lumberjack),((NOT oth:overlap:overlap50) AND (hyp:tok:black AND hyp:tok:wearing)),(((hyp:tok:stopped OR pre:tok:gymnasium) AND hyp:tok:are) OR pre:tok:musicians)
25,((((NOT hyp:tok:woman) AND (hyp:tok:is OR pre:tok:are)) AND (NOT pre:tok:his)) AND (NOT hyp:tok:for)),((((NOT pre:tok:man) AND (hyp:tok:down AND hyp:tok:sitting)) AND (NOT pre:tok:with)) OR hyp:tok:clothed),(((NOT pre:tok:in) AND hyp:tok:no) OR hyp:tok:nobody),(((NOT hyp:tok:to) AND oth:overlap:overlap75) OR hyp:tok:near)
26,((((hyp:tok:black AND hyp:tok:in) OR hyp:tok:costumes) OR hyp:tok:colorful) AND (NOT pre:tok:with)),((((hyp:tok:favorite OR pre:tok:tray) OR hyp:tok:funny) OR hyp:tok:interested) OR pre:tok:army),(((((NOT oth:overlap:overlap25) AND hyp:tok:bikes) OR hyp:tok:pedaling) OR hyp:tok:convertible) AND (NOT pre:tok:by)),(hyp:tok:walking AND pre:tok:is)
27,(hyp:tok:are AND hyp:tok:down),((NOT hyp:tok:next) AND (hyp:tok:for OR hyp:tok:to)),(hyp:tok:standing AND pre:tok:sitting),(((hyp:tok:inside AND pre:tok:on) AND hyp:tok:is) OR hyp:tok:outer)
28,(((hyp:tok:fire AND pre:tok:women) OR hyp:tok:sunlight) OR hyp:tok:gather),((((pre:tok:in OR pre:tok:on) OR oth:overlap:overlap25) AND (NOT oth:overlap:overlap75)) AND (NOT hyp:tok:for)),((NOT pre:tok:in) AND (hyp:tok:falls OR hyp:tok:ladies)),(((hyp:tok:sleeping AND pre:tok:dog) OR pre:tok:sunlight) AND (NOT pre:tok:through))
29,(((pre:tok:book AND pre:tok:in) OR pre:tok:tunnel) OR hyp:tok:countryside),(((hyp:tok:clock OR hyp:tok:curly) OR hyp:tok:!) AND pre:tok:and),((hyp:tok:standing AND pre:tok:sitting) AND pre:tok:on),(NOT pre:tok:wearing)
30,((((hyp:tok:motor OR pre:tok:motor) AND hyp:tok:women) OR hyp:tok:yelling) AND hyp:tok:women),((((NOT oth:overlap:overlap25) AND (hyp:tok:wearing AND pre:tok:two)) OR pre:tok:n't) AND (NOT pre:tok:with)),(hyp:tok:falls OR hyp:tok:ladies),(((NOT oth:overlap:overlap50) AND (hyp:tok:inside OR hyp:tok:sitting)) AND (NOT pre:tok:sitting))
31,((((hyp:tok:is OR hyp:tok:people) OR hyp:tok:woman) AND (NOT pre:tok:street)) AND (NOT hyp:tok:girl)),(hyp:tok:home AND pre:tok:beach),(((hyp:tok:eating OR hyp:tok:tv) OR hyp:tok:eats) OR hyp:tok:numbers),((NOT pre:tok:woman) AND hyp:tok:woman)
32,(((hyp:tok:walking AND oth:overlap:overlap75) OR hyp:tok:look) OR hyp:tok:pick),((NOT oth:overlap:overlap25) AND (hyp:tok:barefoot OR pre:tok:dump)),(hyp:tok:on AND pre:tok:mural),(((pre:tok:and AND pre:tok:indoor) OR hyp:tok:hugging) AND (NOT pre:tok:two))
33,((hyp:tok:blue OR hyp:tok:eating) OR hyp:tok:green),(((hyp:tok:party OR hyp:tok:professional) AND pre:tok:on) OR hyp:tok:opponent),(((hyp:tok:control OR pre:tok:sound) AND hyp:tok:plays) OR pre:tok:dead),((((NOT pre:tok:in) AND (hyp:tok:lane OR hyp:tok:nine)) OR hyp:tok:waterfall) AND (NOT hyp:tok:is))
34,((((hyp:tok:ocean OR pre:tok:dogs) OR hyp:tok:sleeps) OR pre:tok:weather) OR hyp:tok:parked),(((hyp:tok:for OR hyp:tok:to) OR hyp:tok:his) OR hyp:tok:their),((NOT pre:tok:people) AND (hyp:tok:human OR hyp:tok:people)),(((hyp:tok:backpacks OR pre:tok:birthday) OR hyp:tok:carnival) AND (NOT pre:tok:are))
35,(pre:tok:man OR pre:tok:with),(hyp:tok:is OR pre:tok:in),((((hyp:tok:present OR hyp:tok:surrounded) OR hyp:tok:course) OR hyp:tok:buildings) AND (NOT hyp:tok:are)),(((hyp:tok:one OR hyp:tok:wearing) OR pre:tok:only) OR hyp:tok:shirt)
36,((hyp:tok:and OR pre:tok:man) OR hyp:tok:at),((NOT oth:overlap:overlap25) AND (hyp:tok:bath OR hyp:tok:dancing)),((((hyp:tok:ladies OR hyp:tok:vegetable) OR hyp:tok:international) OR pre:tok:neighborhood) OR hyp:tok:surf),(((NOT pre:tok:girl) AND (hyp:tok:girl AND pre:tok:boy)) OR hyp:tok:rollerblading)
37,((((NOT pre:tok:is) AND (hyp:tok:is AND hyp:tok:park)) AND (NOT pre:tok:with)) OR hyp:tok:carrot),(hyp:tok:standing AND pre:tok:sitting),(((hyp:tok:chinese OR pre:tok:resting) OR hyp:tok:steering) OR hyp:tok:clock),((((NOT hyp:tok:is) AND (hyp:tok:flip OR hyp:tok:not)) OR hyp:tok:buildings) AND (NOT pre:tok:white))
38,(hyp:tok:tired AND pre:tok:white),((((NOT oth:overlap:overlap25) AND (hyp:tok:painting OR hyp:tok:smiling)) OR hyp:tok:left) OR hyp:tok:backpack),((hyp:tok:outdoors OR hyp:tok:vehicle) OR hyp:tok:moving),((hyp:tok:inside OR pre:tok:running) OR hyp:tok:one)
39,(hyp:tok:women AND pre:tok:mcdonald),((((hyp:tok:is OR pre:tok:in) OR pre:tok:on) AND (NOT oth:overlap:overlap75)) AND (NOT hyp:tok:outside)),((((hyp:tok:black OR hyp:tok:moon) OR hyp:tok:baseball) OR hyp:tok:only) OR hyp:tok:cars),(((hyp:tok:nobody OR hyp:tok:sleeping) OR hyp:tok:asleep) OR hyp:tok:naked)
40,((((hyp:tok:instruments OR hyp:tok:observe) OR pre:tok:checks) AND (NOT pre:tok:as)) AND (NOT pre:tok:and)),((hyp:tok:park OR hyp:tok:runs) OR hyp:tok:running),((hyp:tok:enjoying OR hyp:tok:lab) OR pre:tok:concert),(NOT hyp:tok:wearing)
41,((((pre:tok:movie OR pre:tok:produce) AND hyp:tok:is) OR pre:tok:training) AND (NOT hyp:tok:in)),((((NOT oth:overlap:overlap75) AND hyp:tok:wearing) AND (NOT pre:tok:man)) OR pre:tok:vacation),(hyp:tok:mountain OR pre:tok:hiding),((hyp:tok:one OR hyp:tok:wearing) OR pre:tok:only)
42,(hyp:tok:black AND hyp:tok:in),(hyp:tok:playing AND pre:tok:swimming),((((hyp:tok:car OR hyp:tok:running) OR hyp:tok:painting) AND (NOT pre:tok:running)) AND (NOT pre:tok:car)),((hyp:tok:nobody OR hyp:tok:sleeping) OR hyp:tok:asleep)
43,((hyp:tok:soccer AND pre:tok:yellow) AND hyp:tok:playing),((((hyp:tok:costumed OR hyp:tok:dish) OR pre:tok:television) OR pre:tok:barn) AND (NOT hyp:tok:sitting)),((((hyp:tok:control OR pre:tok:sound) AND hyp:tok:plays) OR pre:tok:dead) AND (NOT pre:tok:with)),((((hyp:tok:khaki OR hyp:tok:safety) OR hyp:tok:classroom) AND oth:overlap:overlap75) AND (NOT pre:tok:is))
44,(((hyp:tok:in AND pre:tok:rock) OR hyp:tok:dishes) AND hyp:tok:man),(((hyp:tok:rink AND pre:tok:to) OR hyp:tok:instructor) AND pre:tok:large),(hyp:tok:climbing AND pre:tok:rooftop),(((hyp:tok:alone OR hyp:tok:sleeping) OR hyp:tok:couch) OR hyp:tok:eats)
45,((pre:tok:hangs OR pre:tok:leans) OR pre:tok:jean),(hyp:tok:older AND pre:tok:holding),((((pre:tok:off AND pre:tok:others) OR pre:tok:fetch) OR hyp:tok:buggy) OR hyp:tok:sing),(NOT pre:tok:glasses)
46,((((hyp:tok:beard OR hyp:tok:robes) OR hyp:tok:bone) OR hyp:tok:cardboard) OR hyp:tok:whose),(((hyp:tok:bedroom OR hyp:tok:inside) OR hyp:tok:chair) OR pre:tok:hose),(hyp:tok:at AND pre:tok:ride),((((hyp:tok:driving OR hyp:tok:sleeping) OR hyp:tok:moon) OR hyp:tok:nobody) AND (NOT pre:tok:while))
47,((((hyp:tok:swimming AND pre:tok:orange) OR hyp:tok:empty) AND (NOT pre:tok:on)) OR hyp:tok:sandwiches),((hyp:tok:women AND pre:tok:men) OR hyp:tok:vegetable),((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:while) OR hyp:tok:selling) OR hyp:tok:tall),(((((NOT hyp:tok:people) AND hyp:tok:inside) OR hyp:tok:indoors) OR hyp:tok:suspended) AND (NOT pre:tok:him))
48,((NOT pre:tok:in) AND (hyp:tok:and OR hyp:tok:skateboarder)),((hyp:tok:sits OR hyp:tok:sleeping) OR hyp:tok:nap),(((NOT oth:overlap:overlap50) AND pre:tok:on) OR hyp:tok:eating),(hyp:tok:coat AND pre:tok:on)
49,((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:dressed)),((hyp:tok:guitar AND hyp:tok:in) OR hyp:tok:silver),((((hyp:tok:are OR oth:overlap:overlap25) OR hyp:tok:person) OR pre:tok:holding) AND (NOT hyp:tok:sleeping)),(hyp:tok:dogs AND pre:tok:quickly)
50,((((NOT oth:overlap:overlap25) AND hyp:tok:sidewalk) OR hyp:tok:within) OR hyp:tok:wrapped),((NOT pre:tok:in) AND (hyp:tok:dancing OR hyp:tok:field)),(hyp:tok:human AND pre:tok:army),((((NOT pre:tok:group) AND hyp:tok:outside) AND (NOT hyp:tok:in)) AND (NOT pre:tok:man))
51,(hyp:tok:bench AND pre:tok:is),((((hyp:tok:cooking OR hyp:tok:walking) OR hyp:tok:school) AND (NOT pre:tok:walking)) OR hyp:tok:bus),(hyp:tok:soccer AND pre:tok:hits),(((((NOT pre:tok:woman) AND hyp:tok:eating) OR pre:tok:roller) AND (NOT oth:overlap:overlap50)) OR hyp:tok:cafeteria)
52,(hyp:tok:chewing AND pre:tok:with),((pre:tok:its OR pre:tok:riding) OR hyp:tok:shooting),(((hyp:tok:cat OR hyp:tok:tv) OR hyp:tok:unicycle) AND (NOT pre:tok:black)),((NOT pre:tok:girl) AND (hyp:tok:girl AND pre:tok:boy))
53,(hyp:tok:groom OR hyp:tok:toothbrush),(hyp:tok:man AND hyp:tok:restaurant),((hyp:tok:hate OR hyp:tok:skateboarding) OR pre:tok:heels),(hyp:tok:alone OR hyp:tok:sleeping)
54,(((NOT hyp:tok:man) AND hyp:tok:sleeping) OR hyp:tok:crib),((hyp:tok:falls OR pre:tok:gentleman) AND hyp:tok:woman),(((oth:overlap:overlap75 OR pre:tok:suit) AND pre:tok:in) OR pre:tok:dirt),((hyp:tok:blue AND pre:tok:coat) OR hyp:tok:bandanna)
55,(hyp:tok:guitarist OR pre:tok:images),((hyp:tok:rollerskating OR hyp:tok:surfing) AND pre:tok:with),(((((NOT pre:tok:to) AND hyp:tok:to) AND oth:overlap:overlap50) OR hyp:tok:toward) OR hyp:tok:bikers),((((NOT oth:overlap:overlap75) AND (hyp:tok:jumping OR hyp:tok:running)) AND (NOT pre:tok:dog)) OR hyp:tok:moon)
56,((((hyp:tok:ladies OR hyp:tok:tv) OR pre:tok:cherry) AND (NOT hyp:tok:on)) OR hyp:tok:sandwiches),(((hyp:tok:for OR hyp:tok:to) OR hyp:tok:and) AND (NOT pre:tok:blue)),((((hyp:tok:swimming OR hyp:tok:woods) OR hyp:tok:runs) AND (NOT pre:tok:in)) OR pre:tok:relax),(hyp:tok:red AND pre:tok:yellow)
57,(hyp:tok:cats AND hyp:tok:various),((((hyp:tok:shoot OR hyp:tok:steering) OR hyp:tok:lumberjack) AND (NOT pre:tok:to)) AND (NOT oth:overlap:overlap75)),((hyp:tok:down AND pre:tok:she) OR hyp:tok:short),((((NOT hyp:tok:to) AND oth:overlap:overlap75) OR hyp:tok:near) OR hyp:tok:football)
58,((((hyp:tok:cat OR hyp:tok:sleeping) OR hyp:tok:sleep) OR hyp:tok:empty) OR pre:tok:tools),((((NOT pre:tok:woman) AND hyp:tok:woman) AND pre:tok:man) AND (NOT hyp:tok:man)),(hyp:tok:clothing OR pre:tok:garage),(((NOT pre:tok:to) AND (hyp:tok:for OR hyp:tok:to)) OR hyp:tok:after)
59,(((hyp:tok:pants OR pre:tok:guitar) OR hyp:tok:activity) OR hyp:tok:least),(((hyp:tok:compete OR hyp:tok:microscope) OR hyp:tok:camouflage) OR hyp:tok:tan),(((hyp:tok:mountain OR pre:tok:hiding) OR pre:tok:husky) OR pre:tok:shooting),(NOT pre:tok:while)
60,(((hyp:tok:home AND pre:tok:from) AND hyp:tok:is) OR hyp:tok:handing),(hyp:tok:people OR oth:overlap:overlap50),(hyp:tok:is OR pre:tok:and),((hyp:tok:tall OR pre:tok:few) OR hyp:tok:halloween)
61,((((hyp:tok:lunch OR hyp:tok:sits) OR hyp:tok:chair) AND (NOT pre:tok:sitting)) AND (NOT pre:tok:sits)),(hyp:tok:men AND pre:tok:patio),(((hyp:tok:dogs AND pre:tok:get) OR pre:tok:bicyclists) OR hyp:tok:ears),((((hyp:tok:some OR oth:overlap:overlap50) OR hyp:tok:something) OR hyp:tok:has) OR hyp:tok:near)
62,((((pre:tok:hangs OR pre:tok:leans) OR pre:tok:jean) OR hyp:tok:goal) AND (NOT oth:overlap:overlap25)),(((pre:tok:black AND pre:tok:open) OR pre:tok:shadow) OR hyp:tok:handing),((hyp:tok:clean OR hyp:tok:uniformed) OR hyp:tok:hoops),(NOT pre:tok:background)
63,(((hyp:tok:eating OR hyp:tok:sleeps) OR hyp:tok:sleep) OR hyp:tok:laying),(((hyp:tok:drives OR hyp:tok:sofa) OR pre:tok:skinned) OR hyp:tok:boards),((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:and)) OR hyp:tok:for) AND (NOT hyp:tok:outside)),((hyp:tok:black AND pre:tok:white) AND hyp:tok:is)
64,(hyp:tok:older AND pre:tok:holding),((hyp:tok:driving OR hyp:tok:playing) OR hyp:tok:alone),(((pre:tok:motorcycles OR pre:tok:set) AND hyp:tok:people) OR hyp:tok:clouds),((NOT pre:tok:in) AND (hyp:tok:adults OR hyp:tok:cuts))
65,((((hyp:tok:nobody OR hyp:tok:not) OR hyp:tok:eats) OR hyp:tok:n't) OR hyp:tok:fish),(((NOT pre:tok:while) AND (hyp:tok:cliff OR hyp:tok:eating)) AND (NOT pre:tok:is)),((((NOT oth:overlap:overlap25) AND pre:tok:man) AND pre:tok:is) OR pre:tok:baby),((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:friends) OR hyp:tok:tall) OR hyp:tok:new)
66,(((pre:tok:goat OR pre:tok:younger) AND hyp:tok:are) AND (NOT oth:overlap:overlap25)),((pre:tok:blocking OR pre:tok:conducting) AND hyp:tok:play),((((hyp:tok:alone OR hyp:tok:eating) OR hyp:tok:television) OR hyp:tok:inside) OR hyp:tok:eats),(hyp:tok:cat AND pre:tok:dog)
67,((hyp:tok:ladies OR hyp:tok:tv) OR pre:tok:cherry),((((hyp:tok:nobody OR hyp:tok:sleeping) OR hyp:tok:empty) OR hyp:tok:nap) AND (NOT hyp:tok:people)),((((hyp:tok:eating OR hyp:tok:nobody) OR hyp:tok:alone) OR hyp:tok:drives) OR hyp:tok:only),(hyp:tok:park AND oth:overlap:overlap50)
68,(hyp:tok:least OR pre:tok:put),(((hyp:tok:asleep OR hyp:tok:sleeping) OR hyp:tok:park) AND (NOT pre:tok:park)),(hyp:tok:nobody OR hyp:tok:not),(((((NOT oth:overlap:overlap25) AND pre:tok:sitting) AND (NOT pre:tok:man)) OR pre:tok:bucket) AND (NOT hyp:tok:on))
69,((((hyp:tok:friends OR hyp:tok:shopping) OR hyp:tok:sister) OR hyp:tok:trip) OR hyp:tok:favorite),((NOT oth:overlap:overlap25) AND hyp:tok:nobody),((hyp:tok:scouts OR hyp:tok:you) AND hyp:tok:her),((hyp:tok:hillside OR hyp:tok:squatting) OR hyp:tok:acoustic)
70,(hyp:tok:at AND hyp:tok:coffee),((hyp:tok:asleep OR hyp:tok:sleeping) OR hyp:tok:park),((NOT pre:tok:to) AND hyp:tok:to),((hyp:tok:boat OR hyp:tok:riding) OR hyp:tok:smiling)
71,((hyp:tok:driving OR hyp:tok:field) OR pre:tok:kids),(((((NOT pre:tok:sitting) AND hyp:tok:sitting) OR hyp:tok:sleeping) OR hyp:tok:eating) OR hyp:tok:swimming),((NOT pre:tok:in) AND (hyp:tok:mirror OR hyp:tok:orchestra)),(((hyp:tok:mural AND pre:tok:with) OR hyp:tok:butterfly) AND (NOT hyp:tok:on))
72,((((NOT oth:overlap:overlap50) AND (hyp:tok:running OR pre:tok:table)) OR hyp:tok:crying) OR pre:tok:liquid),((((hyp:tok:bed OR hyp:tok:swimming) OR pre:tok:shoulders) OR hyp:tok:cafe) AND (NOT hyp:tok:on)),(((NOT pre:tok:in) AND (hyp:tok:standing AND pre:tok:sitting)) AND (NOT pre:tok:her)),(((NOT pre:tok:and) AND (hyp:tok:in AND hyp:tok:swim)) AND (NOT hyp:tok:is))
73,((((NOT hyp:tok:are) AND hyp:tok:swimming) AND (NOT oth:overlap:overlap75)) OR hyp:tok:draped),((NOT pre:tok:shirt) AND (hyp:tok:blue OR hyp:tok:brown)),(((hyp:tok:buddhist OR hyp:tok:elder) OR hyp:tok:name) OR hyp:tok:tube),(((hyp:tok:inside AND pre:tok:event) OR pre:tok:tips) OR hyp:tok:hang)
74,((((NOT pre:tok:and) AND (pre:tok:with OR pre:tok:working)) OR hyp:tok:no) OR hyp:tok:eating),((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:woman)),((hyp:tok:nobody AND pre:tok:large) AND pre:tok:is),(hyp:tok:acoustic OR hyp:tok:shoveling)
75,(((NOT hyp:tok:are) AND (hyp:tok:humans OR pre:tok:pick)) AND (NOT oth:overlap:overlap25)),(oth:overlap:overlap25 OR pre:tok:while),((((hyp:tok:at OR hyp:tok:playing) OR pre:tok:camera) AND (NOT oth:overlap:overlap75)) OR hyp:tok:building),(((hyp:tok:inside OR pre:tok:running) OR hyp:tok:one) OR hyp:tok:driving)
76,((hyp:tok:are AND pre:tok:course) AND hyp:tok:in),((((NOT pre:tok:on) AND (hyp:tok:on OR hyp:tok:playing)) OR pre:tok:street) OR hyp:tok:through),(((hyp:tok:black OR hyp:tok:moon) OR hyp:tok:baseball) OR hyp:tok:only),(pre:tok:dark OR pre:tok:green)
77,((((hyp:tok:step OR pre:tok:checkered) OR hyp:tok:bread) OR pre:tok:steel) OR hyp:tok:upright),((NOT pre:tok:woman) AND hyp:tok:woman),(((hyp:tok:sleeping AND pre:tok:on) OR hyp:tok:sound) AND (NOT pre:tok:man)),(hyp:tok:championship OR hyp:tok:desert)
78,((pre:tok:body AND pre:tok:brown) AND hyp:tok:in),((((NOT hyp:tok:man) AND (hyp:tok:woman AND pre:tok:man)) AND (NOT pre:tok:while)) AND (NOT pre:tok:to)),((hyp:tok:straight AND pre:tok:white) OR hyp:tok:feeding),((hyp:tok:some OR oth:overlap:overlap50) OR hyp:tok:something)
79,(hyp:tok:looks AND pre:tok:lap),((((NOT hyp:tok:next) AND (hyp:tok:for OR hyp:tok:to)) OR hyp:tok:after) AND (NOT pre:tok:for)),(hyp:tok:buddhist OR hyp:tok:elder),(((hyp:tok:bamboo OR pre:tok:shelter) AND hyp:tok:outside) OR pre:tok:preschool)
80,(hyp:tok:for OR hyp:tok:park),(((NOT pre:tok:woman) AND (hyp:tok:bicycle OR hyp:tok:jogging)) OR hyp:tok:gun),(((NOT pre:tok:dog) AND hyp:tok:dog) OR pre:tok:playground),(hyp:tok:blue AND pre:tok:red)
