,lost_concepts
47,((hyp:tok:project OR hyp:tok:puzzle) AND pre:tok:man)
48,(hyp:tok:robe AND hyp:tok:white)
49,(((hyp:tok:last AND pre:tok:two) OR hyp:tok:photographs) AND (NOT pre:tok:man))
50,((((hyp:tok:friends OR hyp:tok:running) OR hyp:tok:chasing) OR hyp:tok:herself) OR pre:tok:hanging)
51,(hyp:tok:speed AND pre:tok:two)
52,(hyp:tok:derby OR pre:tok:jogging)
53,(pre:tok:little OR pre:tok:young)
54,((hyp:tok:pool OR hyp:tok:swimming) OR hyp:tok:surfing)
55,((((hyp:tok:bowls OR hyp:tok:knitting) AND hyp:tok:woman) OR pre:tok:lemons) AND pre:tok:woman)
56,(((hyp:tok:home AND pre:tok:at) OR pre:tok:pipe) OR hyp:tok:championship)
57,((((NOT pre:tok:with) AND (hyp:tok:his OR pre:tok:two)) AND (NOT hyp:tok:people)) OR hyp:tok:getting)
58,(hyp:tok:man AND pre:tok:guitars)
59,(((((NOT pre:tok:sitting) AND hyp:tok:sitting) OR pre:tok:studying) AND (NOT pre:tok:to)) AND (NOT pre:tok:sits))
60,(hyp:tok:in OR pre:tok:dressed)
61,((NOT pre:tok:and) AND (hyp:tok:football AND pre:tok:football))
62,((hyp:tok:too AND pre:tok:woman) OR pre:tok:forehead)
63,((hyp:tok:asleep OR hyp:tok:nobody) OR hyp:tok:naked)
64,(hyp:tok:and OR hyp:tok:skateboarder)
65,((((hyp:tok:blue OR hyp:tok:eating) OR hyp:tok:green) AND (NOT pre:tok:on)) OR hyp:tok:eats)
66,(NOT pre:tok:down)
67,((((NOT pre:tok:and) AND (hyp:tok:football AND pre:tok:football)) OR hyp:tok:protection) OR hyp:tok:tan)
68,(((NOT pre:tok:man) AND hyp:tok:wearing) AND hyp:tok:is)
69,((((NOT pre:tok:dog) AND hyp:tok:dog) OR pre:tok:compete) OR hyp:tok:marathon)
70,(hyp:tok:hoops OR hyp:tok:rollerblading)
71,((hyp:tok:groceries AND pre:tok:people) OR pre:tok:army)
72,(((oth:overlap:overlap75 OR pre:tok:his) OR pre:tok:one) OR hyp:tok:outside)
73,((NOT hyp:tok:are) AND (hyp:tok:humans OR pre:tok:pick))
74,(hyp:tok:home OR pre:tok:performs)
75,((oth:overlap:overlap50 OR pre:tok:white) OR pre:tok:girl)
76,((pre:tok:design OR pre:tok:placing) OR pre:tok:folding)
77,(hyp:tok:sitting OR hyp:tok:sleeping)
78,((((hyp:tok:smiling AND pre:tok:smile) OR pre:tok:lunch) AND (NOT pre:tok:in)) AND (NOT oth:overlap:overlap50))
79,((pre:tok:goat OR pre:tok:younger) AND hyp:tok:are)
80,(hyp:tok:sunny AND pre:tok:her)
81,((NOT oth:overlap:overlap25) AND (hyp:tok:church OR pre:tok:us))
82,(((pre:tok:cherry OR pre:tok:picking) OR pre:tok:angry) OR hyp:tok:bottom)
83,(((hyp:tok:home AND pre:tok:from) AND hyp:tok:is) OR hyp:tok:handing)
84,(oth:overlap:overlap50 OR pre:tok:race)
85,(hyp:tok:in OR pre:tok:next)
86,(((hyp:tok:his OR pre:tok:with) OR pre:tok:standing) AND (NOT oth:overlap:overlap50))
87,((((hyp:tok:guys OR pre:tok:instruments) OR pre:tok:checks) OR hyp:tok:angry) AND (NOT oth:overlap:overlap50))
88,(((hyp:tok:whose OR pre:tok:pumpkin) OR hyp:tok:above) AND oth:overlap:overlap50)
89,(hyp:tok:drinking OR pre:tok:riding)
90,((((hyp:tok:at OR hyp:tok:her) OR hyp:tok:eating) OR hyp:tok:building) OR hyp:tok:chasing)
91,(NOT pre:tok:white)
92,((hyp:tok:preparing AND pre:tok:from) OR pre:tok:upset)
93,(((hyp:tok:dinner AND pre:tok:food) OR hyp:tok:airplane) AND (NOT hyp:tok:is))
94,((hyp:tok:daughter OR pre:tok:straight) OR hyp:tok:fisherman)
95,((NOT pre:tok:and) AND (hyp:tok:at OR pre:tok:bike))
96,(hyp:tok:cross OR hyp:tok:dinner)
97,((NOT pre:tok:running) AND (hyp:tok:chess OR hyp:tok:running))
98,(((NOT pre:tok:on) AND hyp:tok:ground) OR hyp:tok:hydrant)
99,(hyp:tok:pants OR pre:tok:guitar)
100,(NOT pre:tok:near)
101,(((NOT hyp:tok:sitting) AND (hyp:tok:down OR pre:tok:sitting)) OR pre:tok:four)
102,(((hyp:tok:and AND hyp:tok:walk) OR pre:tok:karate) OR hyp:tok:low)
103,((hyp:tok:in AND hyp:tok:riding) OR pre:tok:boards)
104,(((hyp:tok:among OR pre:tok:puts) AND pre:tok:at) OR pre:tok:television)
105,(((NOT pre:tok:is) AND (hyp:tok:derby OR pre:tok:jogging)) OR hyp:tok:holiday)
106,((((NOT pre:tok:men) AND oth:overlap:overlap75) OR hyp:tok:nobody) OR pre:tok:glass)
107,((NOT pre:tok:two) AND hyp:tok:outside)
108,(hyp:tok:eating OR hyp:tok:sleeps)
109,(hyp:tok:jet OR hyp:tok:tea)
110,((((NOT oth:overlap:overlap25) AND (pre:tok:people OR pre:tok:with)) OR pre:tok:their) OR pre:tok:stand)
111,(pre:tok:man OR pre:tok:with)
112,((((hyp:tok:countryside OR hyp:tok:newspapers) AND pre:tok:on) OR hyp:tok:tables) AND pre:tok:man)
113,(((hyp:tok:protective OR hyp:tok:shoot) OR hyp:tok:pretending) AND pre:tok:and)
114,(((hyp:tok:and OR pre:tok:man) OR hyp:tok:at) OR pre:tok:out)
115,(hyp:tok:is AND pre:tok:antique)
116,((hyp:tok:are AND hyp:tok:down) OR hyp:tok:truck)
117,(((hyp:tok:empty OR hyp:tok:swimming) AND pre:tok:is) OR pre:tok:giant)
118,((NOT oth:overlap:overlap75) AND (hyp:tok:for OR hyp:tok:to))
119,(((hyp:tok:motor OR pre:tok:motor) AND hyp:tok:women) OR hyp:tok:yelling)
120,((((hyp:tok:maintenance OR hyp:tok:tan) OR hyp:tok:boards) OR hyp:tok:lead) OR hyp:tok:spinning)
121,((((NOT oth:overlap:overlap50) AND (hyp:tok:dog OR hyp:tok:in)) AND (NOT hyp:tok:people)) AND (NOT pre:tok:his))
122,((hyp:tok:house OR pre:tok:leaping) OR pre:tok:leaf)
123,((pre:tok:sitting AND pre:tok:women) OR pre:tok:rowboat)
124,(((NOT pre:tok:sitting) AND (hyp:tok:asleep OR hyp:tok:sitting)) OR hyp:tok:sleeps)
125,((hyp:tok:apartment OR hyp:tok:creating) OR hyp:tok:caught)
126,((hyp:tok:ladies OR hyp:tok:tv) OR pre:tok:cherry)
127,(((hyp:tok:asleep OR hyp:tok:for) OR hyp:tok:sad) OR hyp:tok:family)
128,((((NOT pre:tok:is) AND (hyp:tok:derby OR pre:tok:jogging)) OR hyp:tok:holiday) AND (NOT hyp:tok:on))
129,((((hyp:tok:sleeping OR hyp:tok:swimming) OR hyp:tok:cat) OR hyp:tok:bed) OR hyp:tok:couch)
130,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:dog) OR hyp:tok:looks) AND (NOT pre:tok:to))
131,(hyp:tok:room AND hyp:tok:two)
132,(((hyp:tok:home OR pre:tok:performs) OR hyp:tok:pizza) OR hyp:tok:naked)
133,(((NOT pre:tok:is) AND (hyp:tok:is AND hyp:tok:park)) AND (NOT pre:tok:with))
134,((hyp:tok:female OR hyp:tok:video) AND pre:tok:in)
135,(hyp:tok:is OR pre:tok:blue)
136,((((hyp:tok:is OR pre:tok:girl) OR hyp:tok:for) OR hyp:tok:his) OR pre:tok:lady)
137,((hyp:tok:home AND pre:tok:holding) AND hyp:tok:is)
138,(hyp:tok:arms AND pre:tok:black)
139,((hyp:tok:sleeping OR hyp:tok:swimming) OR hyp:tok:cat)
140,(hyp:tok:dogs AND pre:tok:tank)
141,(((((NOT oth:overlap:overlap25) AND hyp:tok:is) OR hyp:tok:home) OR hyp:tok:they) OR pre:tok:waiting)
142,(hyp:tok:chases AND pre:tok:through)
143,(((hyp:tok:cows AND pre:tok:people) OR pre:tok:numbers) AND (NOT pre:tok:on))
144,(((hyp:tok:pots OR pre:tok:camping) OR pre:tok:meet) OR hyp:tok:hiding)
145,(hyp:tok:cafe OR hyp:tok:sleeps)
146,(((((NOT pre:tok:on) AND hyp:tok:swimming) AND oth:overlap:overlap25) AND hyp:tok:in) AND (NOT pre:tok:is))
147,(hyp:tok:snowy OR hyp:tok:yelling)
148,((hyp:tok:eating OR pre:tok:microphone) OR hyp:tok:laying)
149,((hyp:tok:arms AND pre:tok:black) OR hyp:tok:hooded)
150,((((pre:tok:book AND pre:tok:in) OR pre:tok:tunnel) OR hyp:tok:countryside) AND (NOT pre:tok:on))
151,(pre:tok:hot AND pre:tok:little)
152,(hyp:tok:trunks OR pre:tok:bat)
153,((NOT oth:overlap:overlap50) AND (hyp:tok:and OR hyp:tok:is))
154,(hyp:tok:asleep OR hyp:tok:for)
155,(((((NOT oth:overlap:overlap25) AND pre:tok:blue) OR hyp:tok:swimming) OR hyp:tok:drives) OR pre:tok:different)
156,((((hyp:tok:to OR oth:overlap:overlap50) OR hyp:tok:person) OR pre:tok:play) AND (NOT hyp:tok:group))
157,((hyp:tok:cat OR hyp:tok:sleeping) OR hyp:tok:sleep)
158,((((oth:overlap:overlap50 OR pre:tok:white) OR pre:tok:girl) AND (NOT pre:tok:at)) OR pre:tok:suit)
159,((hyp:tok:riders OR pre:tok:clown) OR hyp:tok:legs)
160,((((NOT pre:tok:running) AND hyp:tok:running) AND oth:overlap:overlap25) AND (NOT hyp:tok:man))
161,((((hyp:tok:snowy OR hyp:tok:yelling) OR pre:tok:angry) OR hyp:tok:among) OR hyp:tok:discussing)
162,(((hyp:tok:in AND hyp:tok:swimming) OR hyp:tok:enjoy) OR hyp:tok:roller)
163,(NOT pre:tok:looking)
164,((NOT hyp:tok:are) AND hyp:tok:swimming)
165,(hyp:tok:identical OR hyp:tok:mouths)
166,(((hyp:tok:for AND hyp:tok:jump) OR hyp:tok:referee) OR pre:tok:unicycle)
167,((((hyp:tok:scarves OR pre:tok:easter) OR pre:tok:cook) OR pre:tok:wild) OR hyp:tok:desks)
168,(((hyp:tok:chases AND pre:tok:through) OR pre:tok:studio) AND (NOT hyp:tok:is))
169,((hyp:tok:swimming OR hyp:tok:waiting) OR hyp:tok:dinner)
170,(pre:tok:sitting AND pre:tok:women)
171,((NOT oth:overlap:overlap50) AND (pre:tok:pose OR pre:tok:walking))
172,(hyp:tok:there AND pre:tok:to)
173,(hyp:tok:sad OR pre:tok:snow)
174,((hyp:tok:edge OR hyp:tok:tattoo) AND pre:tok:in)
175,((((hyp:tok:- AND pre:tok:while) OR hyp:tok:!) OR pre:tok:fast) OR pre:tok:desks)
176,((pre:tok:book AND pre:tok:in) OR pre:tok:tunnel)
177,(hyp:tok:years OR pre:tok:nap)
178,(hyp:tok:in AND pre:tok:rock)
179,(((hyp:tok:lap OR hyp:tok:television) OR hyp:tok:pig) OR hyp:tok:bedroom)
180,((((hyp:tok:helps OR hyp:tok:tunnel) AND pre:tok:is) OR hyp:tok:soap) AND (NOT oth:overlap:overlap25))
181,((((NOT pre:tok:man) AND hyp:tok:wearing) AND hyp:tok:is) OR pre:tok:pet)
182,((((hyp:tok:guitarist OR pre:tok:images) OR hyp:tok:fan) AND oth:overlap:overlap50) AND (NOT pre:tok:down))
183,(((hyp:tok:professional OR pre:tok:ceremony) AND pre:tok:on) OR pre:tok:sunset)
184,(oth:overlap:overlap75 OR pre:tok:items)
185,((hyp:tok:eating AND pre:tok:beach) AND pre:tok:and)
186,(pre:tok:doctors OR pre:tok:numbered)
187,((hyp:tok:robe AND hyp:tok:white) OR hyp:tok:protecting)
188,(hyp:tok:getting AND pre:tok:gathering)
189,((((hyp:tok:are AND pre:tok:tent) OR hyp:tok:number) OR hyp:tok:scarves) OR hyp:tok:tiles)
190,((((hyp:tok:tired OR hyp:tok:yellow) AND hyp:tok:man) OR pre:tok:chat) AND (NOT oth:overlap:overlap50))
191,(((hyp:tok:outdoors OR hyp:tok:there) OR hyp:tok:something) OR hyp:tok:trick)
192,(((((NOT oth:overlap:overlap25) AND hyp:tok:couch) AND pre:tok:man) OR hyp:tok:pocket) AND (NOT pre:tok:into))
193,((((hyp:tok:not OR oth:overlap:overlap75) OR hyp:tok:nobody) AND (NOT pre:tok:walking)) AND (NOT pre:tok:young))
194,(NOT hyp:tok:group)
195,((((hyp:tok:drums OR hyp:tok:swimming) OR hyp:tok:roller) OR pre:tok:snowman) AND (NOT oth:overlap:overlap75))
196,((((NOT hyp:tok:to) AND (oth:overlap:overlap50 OR pre:tok:two)) AND (NOT pre:tok:street)) AND (NOT hyp:tok:two))
197,(((hyp:tok:down OR hyp:tok:eating) OR hyp:tok:sleeps) AND (NOT oth:overlap:overlap50))
198,((((hyp:tok:down OR hyp:tok:eating) OR hyp:tok:sleeps) AND (NOT oth:overlap:overlap50)) OR pre:tok:button)
199,((((hyp:tok:pants OR pre:tok:guitar) OR hyp:tok:activity) OR hyp:tok:least) OR hyp:tok:object)
200,(hyp:tok:for OR hyp:tok:park)
201,(((hyp:tok:swimming OR pre:tok:swimming) OR hyp:tok:coffee) OR hyp:tok:television)
202,(((hyp:tok:drums OR hyp:tok:swimming) OR hyp:tok:roller) OR pre:tok:snowman)
203,(((NOT hyp:tok:to) AND (oth:overlap:overlap50 OR pre:tok:two)) AND (NOT pre:tok:street))
204,(hyp:tok:sandwiches OR pre:tok:easter)
205,(((NOT oth:overlap:overlap25) AND pre:tok:on) OR hyp:tok:for)
206,(((NOT oth:overlap:overlap25) AND (hyp:tok:dry OR pre:tok:least)) OR hyp:tok:brushes)
207,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:next)) OR hyp:tok:eating) OR pre:tok:asian)
208,(hyp:tok:middle AND hyp:tok:swimming)
209,(((hyp:tok:at OR hyp:tok:her) OR hyp:tok:eating) OR hyp:tok:building)
210,(hyp:tok:bed OR hyp:tok:ocean)
211,((((NOT hyp:tok:are) AND hyp:tok:swimming) AND (NOT oth:overlap:overlap75)) OR hyp:tok:draped)
212,((((NOT oth:overlap:overlap50) AND (pre:tok:pose OR pre:tok:walking)) OR pre:tok:talks) OR pre:tok:grocery)
213,((hyp:tok:home AND pre:tok:at) OR pre:tok:pipe)
214,(hyp:tok:are AND pre:tok:father)
215,((hyp:tok:driving OR hyp:tok:field) OR pre:tok:kids)
216,(hyp:tok:swimming AND pre:tok:two)
217,((hyp:tok:outside OR oth:overlap:overlap75) OR pre:tok:stand)
218,((((hyp:tok:edge OR hyp:tok:tattoo) AND pre:tok:in) OR hyp:tok:surf) AND pre:tok:is)
219,((((hyp:tok:outside OR oth:overlap:overlap75) OR pre:tok:stand) OR pre:tok:arm) AND (NOT hyp:tok:on))
220,(((hyp:tok:writing OR pre:tok:lunch) OR pre:tok:nap) OR pre:tok:surfing)
221,(((hyp:tok:ramp OR hyp:tok:snowball) OR pre:tok:struggling) OR hyp:tok:suspended)
222,((hyp:tok:there AND pre:tok:to) OR pre:tok:crane)
223,((NOT pre:tok:with) AND (hyp:tok:displaying OR pre:tok:army))
224,((((hyp:tok:softball OR pre:tok:upset) AND hyp:tok:man) OR hyp:tok:onlookers) AND pre:tok:in)
225,(((hyp:tok:chasing OR hyp:tok:playing) OR hyp:tok:middle) AND (NOT pre:tok:playing))
226,(hyp:tok:pots OR pre:tok:camping)
227,(hyp:tok:is OR pre:tok:girl)
228,(oth:overlap:overlap50 OR pre:tok:white)
229,((NOT pre:tok:is) AND (hyp:tok:is AND hyp:tok:park))
230,(hyp:tok:ledge AND pre:tok:to)
231,((NOT oth:overlap:overlap25) AND (pre:tok:people OR pre:tok:with))
232,(((hyp:tok:scarves OR pre:tok:easter) OR pre:tok:cook) OR pre:tok:wild)
233,((((hyp:tok:black AND hyp:tok:wearing) OR pre:tok:backpacks) AND (NOT oth:overlap:overlap75)) AND (NOT pre:tok:are))
234,((NOT pre:tok:his) AND hyp:tok:popsicle)
235,(hyp:tok:at OR pre:tok:bike)
236,(((((NOT pre:tok:two) AND hyp:tok:outside) OR hyp:tok:outdoors) AND (NOT pre:tok:people)) AND (NOT pre:tok:blue))
237,(hyp:tok:lap OR hyp:tok:television)
238,((NOT pre:tok:with) AND (hyp:tok:his OR pre:tok:two))
239,(hyp:tok:herself AND pre:tok:woman)
240,((hyp:tok:guitars OR hyp:tok:spinning) OR hyp:tok:bottles)
241,(((hyp:tok:for OR hyp:tok:to) OR hyp:tok:their) OR hyp:tok:during)
242,((((hyp:tok:computer OR hyp:tok:image) OR hyp:tok:wrestlers) OR hyp:tok:science) OR hyp:tok:produce)
243,(hyp:tok:tall AND pre:tok:two)
244,(((((NOT pre:tok:on) AND hyp:tok:ground) OR hyp:tok:hydrant) OR pre:tok:weather) AND (NOT pre:tok:while))
245,(((NOT oth:overlap:overlap25) AND hyp:tok:sidewalk) OR hyp:tok:within)
246,((NOT pre:tok:men) AND oth:overlap:overlap75)
247,((hyp:tok:indoors OR hyp:tok:machine) OR pre:tok:bearded)
248,((((hyp:tok:house OR pre:tok:leaping) OR pre:tok:leaf) OR hyp:tok:parked) OR hyp:tok:half)
249,((hyp:tok:n't OR hyp:tok:nobody) OR pre:tok:use)
250,((hyp:tok:finished OR pre:tok:enter) OR hyp:tok:bridal)
251,((((hyp:tok:holding OR hyp:tok:wearing) OR pre:tok:skateboard) OR pre:tok:skateboarding) AND (NOT pre:tok:while))
252,(((hyp:tok:edge OR hyp:tok:tattoo) AND pre:tok:in) OR hyp:tok:surf)
253,(((hyp:tok:people AND hyp:tok:snow) AND pre:tok:snow) AND hyp:tok:in)
254,((((hyp:tok:on AND pre:tok:multiple) OR hyp:tok:boards) OR pre:tok:heading) AND (NOT oth:overlap:overlap50))
255,(((hyp:tok:mirror OR hyp:tok:sandwiches) OR hyp:tok:sound) AND (NOT pre:tok:in))
256,((((hyp:tok:empty OR hyp:tok:swimming) AND pre:tok:is) OR pre:tok:giant) OR pre:tok:mirror)
257,((hyp:tok:is OR pre:tok:girl) OR hyp:tok:for)
258,(((((NOT pre:tok:man) AND hyp:tok:wearing) AND hyp:tok:is) OR pre:tok:pet) OR hyp:tok:sleep)
259,(((hyp:tok:swimming OR hyp:tok:waiting) OR hyp:tok:dinner) OR pre:tok:masks)
260,((((NOT pre:tok:on) AND hyp:tok:swimming) AND oth:overlap:overlap25) AND hyp:tok:in)
261,((NOT pre:tok:with) AND (hyp:tok:outdoors OR hyp:tok:outside))
262,(((hyp:tok:friends OR hyp:tok:shopping) OR hyp:tok:sister) OR hyp:tok:trip)
263,((hyp:tok:outdoors OR hyp:tok:there) OR hyp:tok:something)
264,(((hyp:tok:outside AND pre:tok:golfer) OR pre:tok:turns) AND (NOT hyp:tok:is))
265,(((hyp:tok:down OR pre:tok:stage) OR hyp:tok:pool) OR hyp:tok:bench)
266,((hyp:tok:whose OR pre:tok:pumpkin) OR hyp:tok:above)
267,((hyp:tok:finishing OR hyp:tok:shoveling) OR pre:tok:easter)
268,(hyp:tok:tired AND pre:tok:white)
269,((hyp:tok:moon OR hyp:tok:outdoors) OR pre:tok:night)
270,((hyp:tok:walking AND oth:overlap:overlap75) OR hyp:tok:look)
271,((oth:overlap:overlap50 OR pre:tok:play) OR hyp:tok:person)
272,(hyp:tok:people AND hyp:tok:snow)
273,((NOT pre:tok:in) AND hyp:tok:bass)
274,(hyp:tok:lunch OR hyp:tok:sits)
275,((hyp:tok:computer OR hyp:tok:image) OR hyp:tok:wrestlers)
276,((((hyp:tok:asleep OR hyp:tok:nobody) OR hyp:tok:naked) OR hyp:tok:sleeps) OR hyp:tok:nothing)
277,(hyp:tok:sandals OR pre:tok:apartment)
278,((((hyp:tok:female OR hyp:tok:video) AND pre:tok:in) OR hyp:tok:ft) OR pre:tok:chat)
279,((((hyp:tok:swimming OR hyp:tok:tv) OR hyp:tok:blanket) AND (NOT oth:overlap:overlap50)) OR hyp:tok:magazine)
280,((hyp:tok:swimming AND pre:tok:orange) OR hyp:tok:empty)
281,(hyp:tok:swimming OR hyp:tok:waiting)
282,(((NOT pre:tok:running) AND (hyp:tok:chess OR hyp:tok:running)) OR hyp:tok:new)
283,((((hyp:tok:home OR pre:tok:performs) OR hyp:tok:pizza) OR hyp:tok:naked) OR hyp:tok:bed)
284,(pre:tok:skateboarder OR pre:tok:snowman)
285,((((NOT pre:tok:people) AND hyp:tok:nobody) AND (NOT pre:tok:front)) AND (NOT pre:tok:is))
286,((((NOT oth:overlap:overlap50) AND hyp:tok:outdoors) AND (NOT pre:tok:man)) AND (NOT hyp:tok:there))
287,(((pre:tok:design OR pre:tok:placing) OR pre:tok:folding) OR pre:tok:telling)
288,((hyp:tok:lunch OR hyp:tok:sits) OR hyp:tok:chair)
289,(hyp:tok:preparing AND pre:tok:from)
290,((((hyp:tok:among OR pre:tok:puts) AND pre:tok:at) OR pre:tok:television) OR hyp:tok:skate)
291,((hyp:tok:at AND hyp:tok:coffee) AND hyp:tok:drinking)
292,(((hyp:tok:rope OR pre:tok:uniformed) AND hyp:tok:are) OR hyp:tok:sandwiches)
293,(((oth:overlap:overlap50 OR pre:tok:white) OR pre:tok:girl) AND (NOT pre:tok:at))
294,(hyp:tok:swimming OR pre:tok:swimming)
295,((hyp:tok:barely OR hyp:tok:sweater) OR hyp:tok:tie)
296,((((hyp:tok:inside OR hyp:tok:kitchen) OR hyp:tok:bar) AND (NOT oth:overlap:overlap50)) OR pre:tok:cafe)
297,(((((NOT hyp:tok:are) AND hyp:tok:swimming) AND (NOT oth:overlap:overlap75)) OR hyp:tok:draped) AND (NOT pre:tok:his))
298,(((NOT hyp:tok:are) AND hyp:tok:swimming) AND (NOT oth:overlap:overlap75))
299,((((hyp:tok:swimming AND pre:tok:orange) OR hyp:tok:empty) AND (NOT pre:tok:on)) OR hyp:tok:sandwiches)
300,(((hyp:tok:running AND pre:tok:woman) OR pre:tok:flowered) OR hyp:tok:i)
301,(hyp:tok:man AND hyp:tok:snowboarder)
302,(pre:tok:living OR pre:tok:shaving)
303,(((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:next)) OR hyp:tok:eating)
304,((((NOT pre:tok:while) AND hyp:tok:is) OR pre:tok:by) AND (NOT hyp:tok:his))
305,((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:blue))
306,((hyp:tok:cows AND pre:tok:people) OR pre:tok:numbers)
307,((((hyp:tok:lap OR hyp:tok:television) OR hyp:tok:pig) OR hyp:tok:bedroom) OR hyp:tok:clean)
308,((((NOT pre:tok:and) AND (hyp:tok:at OR pre:tok:bike)) OR hyp:tok:green) OR hyp:tok:white)
309,((hyp:tok:cross OR hyp:tok:dinner) OR pre:tok:tattoos)
310,((((hyp:tok:is OR hyp:tok:people) OR hyp:tok:woman) AND (NOT pre:tok:street)) AND (NOT hyp:tok:girl))
311,((hyp:tok:home AND pre:tok:seat) OR hyp:tok:waters)
312,(((((NOT pre:tok:running) AND hyp:tok:running) AND oth:overlap:overlap25) AND (NOT hyp:tok:man)) AND (NOT pre:tok:two))
313,(hyp:tok:humans OR pre:tok:pick)
314,((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:walking))
315,(((hyp:tok:in AND pre:tok:rock) OR hyp:tok:dishes) AND hyp:tok:man)
316,(((NOT hyp:tok:with) AND (hyp:tok:favorite OR hyp:tok:tall)) AND (NOT pre:tok:standing))
317,(((hyp:tok:hoops OR hyp:tok:rollerblading) OR hyp:tok:outer) OR pre:tok:turns)
318,(((hyp:tok:group AND pre:tok:motorcyclists) OR hyp:tok:sofa) AND pre:tok:background)
319,(pre:tok:hikers OR pre:tok:lane)
320,(((NOT oth:overlap:overlap25) AND hyp:tok:is) OR hyp:tok:home)
321,((((hyp:tok:dinner AND pre:tok:food) OR hyp:tok:airplane) AND (NOT hyp:tok:is)) OR hyp:tok:rocky)
322,((NOT pre:tok:in) AND (hyp:tok:inside AND pre:tok:man))
323,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR hyp:tok:wearing)) OR hyp:tok:eating) AND (NOT hyp:tok:people))
324,(hyp:tok:looks AND pre:tok:lap)
