,lost_concepts
80,(hyp:tok:for OR hyp:tok:park)
81,(((((NOT pre:tok:running) AND hyp:tok:running) AND oth:overlap:overlap25) AND (NOT hyp:tok:man)) AND (NOT pre:tok:two))
82,((hyp:tok:helps OR hyp:tok:tunnel) AND pre:tok:is)
83,(hyp:tok:saw OR pre:tok:swimsuit)
84,((NOT hyp:tok:man) AND (hyp:tok:years OR pre:tok:nap))
85,((hyp:tok:lake AND pre:tok:are) AND hyp:tok:in)
86,((((NOT oth:overlap:overlap50) AND (hyp:tok:and OR hyp:tok:is)) OR hyp:tok:they) AND (NOT hyp:tok:there))
87,(((hyp:tok:human AND pre:tok:wearing) OR pre:tok:turns) AND (NOT hyp:tok:is))
88,((NOT pre:tok:while) AND hyp:tok:is)
89,(((hyp:tok:professional OR pre:tok:ceremony) AND pre:tok:on) OR pre:tok:sunset)
90,(hyp:tok:at OR pre:tok:bike)
91,((((hyp:tok:pants OR pre:tok:guitar) OR hyp:tok:activity) OR hyp:tok:least) OR hyp:tok:object)
92,(((hyp:tok:scarves OR pre:tok:easter) OR pre:tok:cook) OR pre:tok:wild)
93,((hyp:tok:eating AND pre:tok:beach) AND pre:tok:and)
94,(((hyp:tok:naked AND pre:tok:people) OR hyp:tok:hooded) OR hyp:tok:rowboat)
95,((hyp:tok:sandwiches OR pre:tok:easter) OR pre:tok:photographs)
96,((hyp:tok:herself AND pre:tok:woman) OR hyp:tok:cameras)
97,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:dressed)) OR hyp:tok:eating) AND (NOT hyp:tok:there))
98,(hyp:tok:down OR hyp:tok:ground)
99,(hyp:tok:swimming OR hyp:tok:tv)
100,((NOT oth:overlap:overlap25) AND (hyp:tok:church OR pre:tok:us))
101,(((hyp:tok:bent OR hyp:tok:shade) OR hyp:tok:elephant) AND oth:overlap:overlap25)
102,((((hyp:tok:mirror OR hyp:tok:sandwiches) OR hyp:tok:sound) AND (NOT pre:tok:in)) OR pre:tok:easter)
103,((hyp:tok:professional OR pre:tok:ceremony) AND pre:tok:on)
104,(((hyp:tok:park OR pre:tok:suspenders) AND pre:tok:shirt) OR hyp:tok:garage)
105,(hyp:tok:favorite OR hyp:tok:tall)
106,((hyp:tok:riders OR pre:tok:clown) OR hyp:tok:legs)
107,(((hyp:tok:bed OR hyp:tok:ocean) OR hyp:tok:bedroom) OR hyp:tok:tv)
108,(((pre:tok:cherry OR pre:tok:picking) OR pre:tok:angry) OR hyp:tok:bottom)
109,((pre:tok:doctors OR pre:tok:numbered) OR pre:tok:prepare)
110,(((hyp:tok:herself AND pre:tok:woman) OR hyp:tok:cameras) AND (NOT pre:tok:with))
111,(hyp:tok:giant AND pre:tok:at)
112,((NOT oth:overlap:overlap25) AND (hyp:tok:dry OR pre:tok:least))
113,((((pre:tok:hot AND pre:tok:little) OR hyp:tok:skirts) OR hyp:tok:protection) OR hyp:tok:pocket)
114,(hyp:tok:swimming OR pre:tok:swimming)
115,((hyp:tok:chasing OR hyp:tok:playing) OR hyp:tok:middle)
116,(hyp:tok:are AND hyp:tok:sleeping)
117,((((pre:tok:living OR pre:tok:shaving) OR pre:tok:bearded) OR hyp:tok:sport) OR hyp:tok:sings)
118,(((NOT pre:tok:man) AND hyp:tok:wearing) AND hyp:tok:is)
119,((hyp:tok:guitars OR hyp:tok:spinning) OR hyp:tok:bottles)
120,(hyp:tok:man AND pre:tok:guitars)
121,((pre:tok:hot AND pre:tok:little) OR hyp:tok:skirts)
122,(((hyp:tok:empty OR hyp:tok:swimming) AND pre:tok:is) OR pre:tok:giant)
123,((hyp:tok:holding OR hyp:tok:wearing) OR pre:tok:skateboard)
124,(hyp:tok:camouflage OR hyp:tok:sheep)
125,(hyp:tok:ocean OR pre:tok:dogs)
126,(((hyp:tok:bench AND pre:tok:is) OR pre:tok:terrain) AND (NOT pre:tok:with))
127,(((hyp:tok:jumping OR pre:tok:pet) AND hyp:tok:dog) OR hyp:tok:talks)
128,((NOT oth:overlap:overlap50) AND (hyp:tok:dog OR hyp:tok:in))
129,((hyp:tok:cows AND pre:tok:people) OR pre:tok:numbers)
130,(hyp:tok:nobody OR hyp:tok:not)
131,(hyp:tok:in AND pre:tok:rock)
132,((hyp:tok:asleep OR hyp:tok:for) OR hyp:tok:sad)
133,(((hyp:tok:guitarist OR pre:tok:images) OR hyp:tok:fan) AND oth:overlap:overlap50)
134,((hyp:tok:too AND pre:tok:woman) OR pre:tok:forehead)
135,(((hyp:tok:running AND pre:tok:woman) OR pre:tok:flowered) OR hyp:tok:i)
136,(((hyp:tok:home AND pre:tok:at) OR pre:tok:pipe) OR hyp:tok:championship)
137,((hyp:tok:mirror OR hyp:tok:sandwiches) OR hyp:tok:sound)
138,(hyp:tok:indoors OR hyp:tok:machine)
139,((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:wearing)) OR hyp:tok:for) AND (NOT hyp:tok:outside))
140,((hyp:tok:friends OR hyp:tok:running) OR hyp:tok:chasing)
141,((hyp:tok:swimming AND pre:tok:two) OR hyp:tok:maintenance)
142,(hyp:tok:tourists AND pre:tok:and)
143,((hyp:tok:daughter OR pre:tok:straight) OR hyp:tok:fisherman)
144,((((hyp:tok:tall AND pre:tok:two) OR pre:tok:i) OR pre:tok:walked) OR hyp:tok:year)
145,(hyp:tok:friends AND hyp:tok:group)
146,((((hyp:tok:professional OR pre:tok:ceremony) AND pre:tok:on) OR pre:tok:sunset) OR hyp:tok:mid)
147,(((NOT hyp:tok:to) AND (oth:overlap:overlap50 OR pre:tok:two)) AND (NOT pre:tok:street))
148,(((NOT oth:overlap:overlap50) AND (pre:tok:blue OR pre:tok:in)) AND (NOT pre:tok:men))
149,(hyp:tok:asleep OR hyp:tok:sitting)
150,((((hyp:tok:herself AND pre:tok:woman) OR hyp:tok:cameras) AND (NOT pre:tok:with)) OR hyp:tok:sides)
151,(hyp:tok:is AND hyp:tok:park)
152,((((hyp:tok:human OR pre:tok:surfing) OR pre:tok:chopping) OR hyp:tok:helmet) OR pre:tok:ready)
153,(((((NOT pre:tok:man) AND hyp:tok:wearing) AND hyp:tok:is) OR pre:tok:pet) OR hyp:tok:sleep)
154,(NOT hyp:tok:two)
155,((((hyp:tok:at OR hyp:tok:sitting) OR hyp:tok:swimming) AND (NOT pre:tok:at)) OR hyp:tok:driving)
156,((pre:tok:cherry OR pre:tok:picking) OR pre:tok:angry)
157,(((NOT hyp:tok:with) AND (hyp:tok:favorite OR hyp:tok:tall)) AND (NOT pre:tok:standing))
158,((((NOT oth:overlap:overlap25) AND pre:tok:on) OR hyp:tok:for) OR pre:tok:sitting)
159,(((NOT oth:overlap:overlap25) AND hyp:tok:couch) AND pre:tok:man)
160,(hyp:tok:eating OR pre:tok:microphone)
161,(((hyp:tok:asleep OR hyp:tok:customer) OR pre:tok:similar) AND (NOT oth:overlap:overlap25))
162,(hyp:tok:skater AND hyp:tok:sleeping)
163,((hyp:tok:sandals OR pre:tok:apartment) OR pre:tok:pet)
164,(hyp:tok:eating AND pre:tok:beach)
165,((((NOT hyp:tok:to) AND (oth:overlap:overlap50 OR pre:tok:two)) AND (NOT pre:tok:street)) AND (NOT hyp:tok:two))
166,(((hyp:tok:project OR hyp:tok:puzzle) AND pre:tok:man) AND (NOT hyp:tok:two))
167,((((oth:overlap:overlap50 OR pre:tok:white) OR pre:tok:girl) AND (NOT pre:tok:at)) OR pre:tok:suit)
168,(((hyp:tok:men AND pre:tok:smile) OR hyp:tok:steering) OR hyp:tok:onlookers)
169,(((hyp:tok:swimming AND pre:tok:orange) OR hyp:tok:empty) AND (NOT pre:tok:on))
170,(((((NOT hyp:tok:are) AND hyp:tok:swimming) AND (NOT oth:overlap:overlap75)) OR hyp:tok:draped) AND (NOT pre:tok:his))
171,(((hyp:tok:writing OR pre:tok:lunch) OR pre:tok:nap) OR pre:tok:surfing)
172,((pre:tok:movie OR pre:tok:produce) AND hyp:tok:is)
173,(((NOT pre:tok:running) AND (hyp:tok:chess OR hyp:tok:running)) OR hyp:tok:new)
174,((hyp:tok:bent OR hyp:tok:shade) OR hyp:tok:elephant)
175,(hyp:tok:in OR hyp:tok:wearing)
176,((hyp:tok:horses AND hyp:tok:riding) AND pre:tok:people)
177,(hyp:tok:down OR pre:tok:stage)
178,((hyp:tok:among OR pre:tok:puts) AND pre:tok:at)
179,((hyp:tok:in AND hyp:tok:swimming) OR hyp:tok:enjoy)
180,((hyp:tok:black AND hyp:tok:wearing) OR pre:tok:backpacks)
181,(((hyp:tok:are AND pre:tok:tent) OR hyp:tok:number) OR hyp:tok:scarves)
182,((hyp:tok:handed OR pre:tok:singer) OR hyp:tok:museum)
183,((hyp:tok:pants OR pre:tok:guitar) OR hyp:tok:activity)
184,(hyp:tok:and OR pre:tok:man)
185,(hyp:tok:people AND hyp:tok:snow)
186,(hyp:tok:asleep OR hyp:tok:customer)
187,(hyp:tok:is OR pre:tok:blue)
188,(hyp:tok:eating OR hyp:tok:swimming)
189,((((hyp:tok:bedroom OR hyp:tok:stuck) OR hyp:tok:clock) AND (NOT pre:tok:in)) OR hyp:tok:pets)
190,(hyp:tok:about OR hyp:tok:for)
191,(((hyp:tok:home OR pre:tok:performs) OR hyp:tok:pizza) OR hyp:tok:naked)
192,((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:walking))
193,((((hyp:tok:not OR oth:overlap:overlap75) OR hyp:tok:nobody) AND (NOT pre:tok:walking)) AND (NOT pre:tok:young))
194,(hyp:tok:is OR pre:tok:are)
195,(NOT pre:tok:playing)
196,(hyp:tok:at OR hyp:tok:in)
197,((NOT oth:overlap:overlap50) AND (pre:tok:pose OR pre:tok:walking))
198,((NOT oth:overlap:overlap50) AND (hyp:tok:are OR hyp:tok:is))
199,((NOT pre:tok:people) AND hyp:tok:nobody)
200,(((hyp:tok:coffee OR hyp:tok:pillow) OR hyp:tok:elephant) OR hyp:tok:eats)
201,((pre:tok:hikers OR pre:tok:lane) OR pre:tok:slope)
202,(hyp:tok:girl AND hyp:tok:push)
203,(((((NOT oth:overlap:overlap25) AND hyp:tok:is) OR hyp:tok:home) OR hyp:tok:they) OR pre:tok:waiting)
204,(hyp:tok:hardware AND pre:tok:on)
205,(hyp:tok:throws AND pre:tok:beach)
206,(((hyp:tok:friends AND hyp:tok:group) OR hyp:tok:sad) AND (NOT pre:tok:in))
207,((hyp:tok:at OR hyp:tok:her) OR hyp:tok:eating)
208,((hyp:tok:for OR hyp:tok:to) OR hyp:tok:dog)
209,((((hyp:tok:preparing AND pre:tok:from) OR pre:tok:upset) OR hyp:tok:passed) AND (NOT hyp:tok:in))
210,(((hyp:tok:robe AND hyp:tok:white) OR hyp:tok:protecting) AND (NOT pre:tok:two))
211,((((hyp:tok:concert OR pre:tok:farmer) OR pre:tok:leaf) OR hyp:tok:art) AND (NOT oth:overlap:overlap50))
212,(hyp:tok:seated OR pre:tok:railing)
213,(hyp:tok:not OR oth:overlap:overlap75)
214,((hyp:tok:human AND pre:tok:wearing) OR pre:tok:turns)
215,(((NOT pre:tok:in) AND (hyp:tok:and OR hyp:tok:skateboarder)) AND (NOT pre:tok:man))
216,((((hyp:tok:finished OR pre:tok:enter) OR hyp:tok:bridal) OR hyp:tok:snowshoes) AND (NOT hyp:tok:to))
217,(((hyp:tok:concert OR pre:tok:farmer) OR pre:tok:leaf) OR hyp:tok:art)
218,((((NOT pre:tok:in) AND (hyp:tok:and OR hyp:tok:skateboarder)) AND (NOT pre:tok:man)) OR hyp:tok:booth)
219,((hyp:tok:guys OR pre:tok:instruments) OR pre:tok:checks)
220,(((hyp:tok:for OR hyp:tok:to) OR hyp:tok:their) OR hyp:tok:tall)
221,(hyp:tok:home AND pre:tok:seat)
222,((hyp:tok:park OR pre:tok:suspenders) AND pre:tok:shirt)
223,((pre:tok:painted AND pre:tok:to) OR hyp:tok:speed)
224,(((oth:overlap:overlap50 OR pre:tok:play) OR hyp:tok:person) OR pre:tok:stand)
225,((((hyp:tok:water AND pre:tok:swimming) OR hyp:tok:happening) OR hyp:tok:furniture) OR pre:tok:wife)
226,((((hyp:tok:to OR oth:overlap:overlap50) OR hyp:tok:person) OR pre:tok:play) AND (NOT hyp:tok:group))
227,((((NOT hyp:tok:man) AND hyp:tok:sleeping) OR hyp:tok:crib) AND (NOT pre:tok:girl))
228,(hyp:tok:bed OR hyp:tok:ocean)
229,((hyp:tok:carrot OR hyp:tok:yelling) OR hyp:tok:maintenance)
230,(((hyp:tok:suburban OR pre:tok:skiing) OR hyp:tok:clouds) OR hyp:tok:terrain)
231,(((pre:tok:painted AND pre:tok:to) OR hyp:tok:speed) OR hyp:tok:bin)
232,((NOT hyp:tok:her) AND (hyp:tok:smiling AND hyp:tok:woman))
233,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR hyp:tok:wearing)) OR hyp:tok:eating) AND (NOT hyp:tok:people))
234,(((hyp:tok:seated OR pre:tok:railing) AND pre:tok:are) OR hyp:tok:6)
235,(hyp:tok:activity OR hyp:tok:least)
236,(((hyp:tok:down OR pre:tok:stage) OR hyp:tok:pool) OR hyp:tok:bench)
237,(((NOT pre:tok:wearing) AND (hyp:tok:human OR hyp:tok:wearing)) OR pre:tok:swimming)
238,((((NOT hyp:tok:to) AND oth:overlap:overlap25) OR pre:tok:to) AND (NOT hyp:tok:for))
239,((((hyp:tok:outside OR oth:overlap:overlap75) OR pre:tok:stand) OR pre:tok:arm) AND (NOT hyp:tok:on))
240,(((hyp:tok:groom OR hyp:tok:toothbrush) OR hyp:tok:chat) OR hyp:tok:buildings)
241,(NOT pre:tok:looking)
242,((((hyp:tok:writing OR pre:tok:lunch) OR pre:tok:nap) OR pre:tok:surfing) OR pre:tok:low)
243,(hyp:tok:stuck AND pre:tok:in)
244,((((hyp:tok:laying OR hyp:tok:seated) OR hyp:tok:pub) OR hyp:tok:fell) OR hyp:tok:bedroom)
245,((hyp:tok:identical OR hyp:tok:mouths) AND hyp:tok:two)
246,((hyp:tok:beard OR hyp:tok:robes) OR hyp:tok:bone)
247,((((NOT pre:tok:is) AND (hyp:tok:derby OR pre:tok:jogging)) OR hyp:tok:holiday) AND (NOT hyp:tok:on))
248,((((NOT pre:tok:sitting) AND hyp:tok:sitting) OR pre:tok:studying) AND (NOT pre:tok:to))
249,((hyp:tok:sleeping OR hyp:tok:swimming) OR hyp:tok:cat)
250,((((NOT oth:overlap:overlap50) AND hyp:tok:outdoors) AND (NOT pre:tok:man)) AND (NOT hyp:tok:there))
251,(hyp:tok:for AND hyp:tok:jump)
252,((((hyp:tok:boys AND pre:tok:girls) OR pre:tok:learning) OR hyp:tok:seven) OR hyp:tok:camouflage)
253,((((NOT oth:overlap:overlap25) AND (hyp:tok:church OR pre:tok:us)) OR hyp:tok:fake) AND (NOT pre:tok:-))
254,(hyp:tok:some AND pre:tok:attempting)
255,(((NOT hyp:tok:riding) AND (hyp:tok:drinking OR pre:tok:riding)) OR hyp:tok:blanket)
256,((hyp:tok:in AND pre:tok:rock) OR hyp:tok:dishes)
257,((((hyp:tok:beer AND pre:tok:man) OR hyp:tok:balance) AND pre:tok:in) AND (NOT hyp:tok:at))
258,((((hyp:tok:naked AND pre:tok:people) OR hyp:tok:hooded) OR hyp:tok:rowboat) OR hyp:tok:roller)
259,((((hyp:tok:couch OR hyp:tok:crying) OR hyp:tok:seated) AND (NOT pre:tok:with)) AND (NOT oth:overlap:overlap50))
260,((pre:tok:sitting AND pre:tok:women) OR pre:tok:rowboat)
261,(((hyp:tok:there AND pre:tok:to) OR pre:tok:crane) OR pre:tok:scale)
262,(((hyp:tok:inside OR hyp:tok:kitchen) OR hyp:tok:bar) AND (NOT oth:overlap:overlap50))
263,((((hyp:tok:finishing OR hyp:tok:shoveling) OR pre:tok:easter) OR hyp:tok:rack) AND (NOT oth:overlap:overlap50))
264,((((hyp:tok:protective OR hyp:tok:shoot) OR hyp:tok:pretending) AND pre:tok:and) OR hyp:tok:may)
265,((((NOT pre:tok:on) AND hyp:tok:ground) OR hyp:tok:hydrant) OR pre:tok:weather)
266,(((hyp:tok:and AND hyp:tok:walk) OR pre:tok:karate) OR hyp:tok:low)
267,(hyp:tok:men AND pre:tok:smile)
268,(((hyp:tok:for OR hyp:tok:their) OR hyp:tok:home) OR hyp:tok:to)
269,((((NOT pre:tok:running) AND (hyp:tok:running OR hyp:tok:soccer)) OR hyp:tok:duck) AND (NOT pre:tok:white))
270,((hyp:tok:concert OR pre:tok:farmer) OR pre:tok:leaf)
271,(((oth:overlap:overlap50 OR pre:tok:race) OR pre:tok:game) AND (NOT pre:tok:standing))
272,(((hyp:tok:in AND hyp:tok:swimming) OR hyp:tok:enjoy) OR hyp:tok:roller)
273,(hyp:tok:sleeping OR hyp:tok:swimming)
274,((((hyp:tok:park OR pre:tok:suspenders) AND pre:tok:shirt) OR hyp:tok:garage) OR hyp:tok:court)
275,(hyp:tok:band AND pre:tok:guitars)
276,((hyp:tok:control OR hyp:tok:staircase) AND pre:tok:colorful)
277,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:walking)) OR hyp:tok:blue) AND (NOT pre:tok:his))
278,(hyp:tok:dog OR hyp:tok:in)
279,(((NOT pre:tok:people) AND hyp:tok:nobody) AND (NOT pre:tok:front))
280,(((hyp:tok:house OR pre:tok:leaping) OR pre:tok:leaf) OR hyp:tok:parked)
281,(NOT pre:tok:near)
282,((NOT pre:tok:in) AND (hyp:tok:inside AND pre:tok:man))
283,(((hyp:tok:his OR pre:tok:with) OR pre:tok:standing) AND (NOT oth:overlap:overlap50))
284,(hyp:tok:female OR hyp:tok:video)
285,((((hyp:tok:female OR hyp:tok:video) AND pre:tok:in) OR hyp:tok:ft) OR pre:tok:chat)
286,((((hyp:tok:among OR pre:tok:puts) AND pre:tok:at) OR pre:tok:television) OR hyp:tok:skate)
287,(((NOT pre:tok:are) AND (oth:overlap:overlap75 OR pre:tok:items)) AND (NOT hyp:tok:in))
288,((NOT pre:tok:on) AND hyp:tok:on)
289,(((hyp:tok:lap OR hyp:tok:television) OR hyp:tok:pig) OR hyp:tok:bedroom)
290,((((hyp:tok:in AND pre:tok:rock) OR hyp:tok:dishes) AND hyp:tok:man) OR hyp:tok:pets)
291,(((hyp:tok:chasing OR hyp:tok:playing) OR hyp:tok:middle) AND (NOT pre:tok:playing))
292,((((hyp:tok:guys OR pre:tok:instruments) OR pre:tok:checks) OR hyp:tok:angry) AND (NOT oth:overlap:overlap50))
293,((hyp:tok:swimming OR pre:tok:swimming) OR hyp:tok:coffee)
294,(hyp:tok:couch OR hyp:tok:home)
295,(((hyp:tok:indoors OR hyp:tok:inside) OR hyp:tok:present) OR hyp:tok:outfits)
296,(((hyp:tok:gesturing OR pre:tok:headscarf) OR pre:tok:form) OR pre:tok:sister)
297,((hyp:tok:couch OR hyp:tok:swimming) OR pre:tok:cute)
298,(hyp:tok:naked AND pre:tok:wig)
299,(((pre:tok:doctors OR pre:tok:numbered) OR pre:tok:prepare) OR hyp:tok:maroon)
300,((((hyp:tok:at OR hyp:tok:in) OR hyp:tok:to) AND (NOT oth:overlap:overlap50)) AND (NOT pre:tok:with))
301,(((hyp:tok:activity OR hyp:tok:least) AND oth:overlap:overlap25) AND (NOT hyp:tok:is))
302,(((hyp:tok:n't OR hyp:tok:nobody) OR pre:tok:use) OR pre:tok:rink)
303,(hyp:tok:preparing AND pre:tok:from)
304,((NOT hyp:tok:to) AND (oth:overlap:overlap50 OR pre:tok:two))
305,(((hyp:tok:black AND hyp:tok:in) OR hyp:tok:costumes) OR hyp:tok:colorful)
306,(((hyp:tok:at OR hyp:tok:her) OR hyp:tok:eating) OR hyp:tok:building)
307,((((hyp:tok:swimming OR pre:tok:swimming) OR hyp:tok:coffee) OR hyp:tok:television) OR pre:tok:kayak)
308,(hyp:tok:coffee OR hyp:tok:pillow)
309,(hyp:tok:sitting AND pre:tok:pots)
310,((hyp:tok:for AND hyp:tok:jump) OR hyp:tok:referee)
311,(hyp:tok:spring AND pre:tok:on)
312,(((NOT pre:tok:sitting) AND hyp:tok:sitting) OR pre:tok:studying)
313,(((hyp:tok:step OR pre:tok:checkered) OR hyp:tok:bread) OR pre:tok:steel)
