neuron,cluster,formula,pair_num,pre,hyp
1021,3,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:tall) OR hyp:tok:friends) AND (NOT hyp:tok:next)),32,"A senior is waiting at the window of a restaurant that serves sandwiches .
","A man is looking to order a grilled cheese sandwich .
"
870,1,((((pre:tok:is AND pre:tok:man) OR hyp:tok:dancing) OR pre:tok:running) OR hyp:tok:bus),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
870,1,((((pre:tok:is AND pre:tok:man) OR hyp:tok:dancing) OR pre:tok:running) OR hyp:tok:bus),2,"Two women are embracing while holding to go packages .
","The men are fighting outside a deli .
"
870,2,(((((NOT pre:tok:woman) AND hyp:tok:woman) OR hyp:tok:walked) AND (NOT pre:tok:lady)) AND (NOT pre:tok:women)),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
870,2,(((((NOT pre:tok:woman) AND hyp:tok:woman) OR hyp:tok:walked) AND (NOT pre:tok:lady)) AND (NOT pre:tok:women)),26,"A young boy in a field of flowers carrying a ball
","dog in pool
"
870,3,(((((NOT pre:tok:woman) AND hyp:tok:woman) AND pre:tok:man) OR pre:tok:6) AND (NOT hyp:tok:man)),6,"A man selling donuts to a customer during a world exhibition event held in the city of Angeles
","A woman drinks her coffee in a small cafe .
"
870,3,(((((NOT pre:tok:woman) AND hyp:tok:woman) AND pre:tok:man) OR pre:tok:6) AND (NOT hyp:tok:man)),56,"A older gentleman finds it humorous that he is getting his picture taken while doing his laundry .
","two ladies pin clothes to dry
"
280,1,((((NOT hyp:tok:to) AND (hyp:tok:are OR oth:overlap:overlap25)) AND (NOT hyp:tok:for)) OR pre:tok:for),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
280,1,((((NOT hyp:tok:to) AND (hyp:tok:are OR oth:overlap:overlap25)) AND (NOT hyp:tok:for)) OR pre:tok:for),2,"Two women are embracing while holding to go packages .
","The men are fighting outside a deli .
"
280,2,((((hyp:tok:people OR oth:overlap:overlap50) OR hyp:tok:sitting) OR hyp:tok:person) AND (NOT hyp:tok:for)),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
280,2,((((hyp:tok:people OR oth:overlap:overlap50) OR hyp:tok:sitting) OR hyp:tok:person) AND (NOT hyp:tok:for)),3,"Two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink .
","Two kids in numbered jerseys wash their hands .
"
280,3,((((hyp:tok:there OR oth:overlap:overlap75) OR pre:tok:red) OR hyp:tok:person) AND (NOT hyp:tok:for)),34,"Man in a black suit , white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him .
","Nobody has a suit
"
280,3,((((hyp:tok:there OR oth:overlap:overlap75) OR pre:tok:red) OR hyp:tok:person) AND (NOT hyp:tok:for)),43,"Two doctors perform surgery on patient .
","Doctors are performing surgery .
"
6,1,((((NOT oth:overlap:overlap25) AND (hyp:tok:is OR pre:tok:one)) OR hyp:tok:they) OR pre:tok:stage),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
6,1,((((NOT oth:overlap:overlap25) AND (hyp:tok:is OR pre:tok:one)) OR hyp:tok:they) OR pre:tok:stage),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
6,2,(((((NOT oth:overlap:overlap25) AND hyp:tok:is) AND (NOT pre:tok:by)) OR hyp:tok:tall) OR hyp:tok:they),2,"Two women are embracing while holding to go packages .
","The men are fighting outside a deli .
"
6,2,(((((NOT oth:overlap:overlap25) AND hyp:tok:is) AND (NOT pre:tok:by)) OR hyp:tok:tall) OR hyp:tok:they),5,"Two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink .
","Two kids in jackets walk to school .
"
6,3,((((hyp:tok:best OR hyp:tok:tall) OR pre:tok:groom) OR pre:tok:mother) OR pre:tok:match),27,"Families waiting in line at an amusement park for their turn to ride .
","The restaurant is very bad .
"
6,3,((((hyp:tok:best OR hyp:tok:tall) OR pre:tok:groom) OR pre:tok:mother) OR pre:tok:match),35,"Man in a black suit , white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him .
","A tall person in a suit
"
410,1,((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR hyp:tok:woman)) OR hyp:tok:cat) AND (NOT hyp:tok:there)),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
410,1,((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR hyp:tok:woman)) OR hyp:tok:cat) AND (NOT hyp:tok:there)),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
410,2,((((NOT oth:overlap:overlap50) AND (hyp:tok:dog OR hyp:tok:in)) OR hyp:tok:inside) AND (NOT pre:tok:are)),6,"A man selling donuts to a customer during a world exhibition event held in the city of Angeles
","A woman drinks her coffee in a small cafe .
"
410,2,((((NOT oth:overlap:overlap50) AND (hyp:tok:dog OR hyp:tok:in)) OR hyp:tok:inside) AND (NOT pre:tok:are)),10,"Two young boys of opposing teams play football , while wearing full protection uniforms and helmets .
","dog eats out of bowl
"
410,3,((((hyp:tok:cat OR hyp:tok:swimming) OR hyp:tok:sleeps) OR hyp:tok:sleeping) OR hyp:tok:parked),45,"A white dog with long hair jumps to catch a red and green toy .
","A white dog with long hair is swimming underwater .
"
410,3,((((hyp:tok:cat OR hyp:tok:swimming) OR hyp:tok:sleeps) OR hyp:tok:sleeping) OR hyp:tok:parked),67,"The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf .
","Only one woman is wearing a head scarf .
"
