,lost_concepts
47,((hyp:tok:project OR hyp:tok:puzzle) AND pre:tok:man)
48,(hyp:tok:robe AND hyp:tok:white)
49,(((hyp:tok:last AND pre:tok:two) OR hyp:tok:photographs) AND (NOT pre:tok:man))
50,((((hyp:tok:friends OR hyp:tok:running) OR hyp:tok:chasing) OR hyp:tok:herself) OR pre:tok:hanging)
51,(pre:tok:little OR pre:tok:young)
52,(NOT pre:tok:old)
53,(hyp:tok:derby OR pre:tok:jogging)
54,((((hyp:tok:bowls OR hyp:tok:knitting) AND hyp:tok:woman) OR pre:tok:lemons) AND pre:tok:woman)
55,(((hyp:tok:home AND pre:tok:at) OR pre:tok:pipe) OR hyp:tok:championship)
56,((((NOT pre:tok:with) AND (hyp:tok:his OR pre:tok:two)) AND (NOT hyp:tok:people)) OR hyp:tok:getting)
57,(hyp:tok:man AND pre:tok:guitars)
58,(((((NOT pre:tok:sitting) AND hyp:tok:sitting) OR pre:tok:studying) AND (NOT pre:tok:to)) AND (NOT pre:tok:sits))
59,(hyp:tok:in OR pre:tok:dressed)
60,((NOT pre:tok:and) AND (hyp:tok:football AND pre:tok:football))
61,((hyp:tok:too AND pre:tok:woman) OR pre:tok:forehead)
62,((hyp:tok:asleep OR hyp:tok:nobody) OR hyp:tok:naked)
63,(hyp:tok:and OR hyp:tok:skateboarder)
64,((((hyp:tok:blue OR hyp:tok:eating) OR hyp:tok:green) AND (NOT pre:tok:on)) OR hyp:tok:eats)
65,((hyp:tok:instruments OR hyp:tok:observe) OR pre:tok:checks)
66,(NOT pre:tok:walking)
67,(NOT pre:tok:down)
68,((((NOT pre:tok:and) AND (hyp:tok:football AND pre:tok:football)) OR hyp:tok:protection) OR hyp:tok:tan)
69,(((NOT pre:tok:man) AND hyp:tok:wearing) AND hyp:tok:is)
70,((((NOT pre:tok:dog) AND hyp:tok:dog) OR pre:tok:compete) OR hyp:tok:marathon)
71,(hyp:tok:hoops OR hyp:tok:rollerblading)
72,((hyp:tok:groceries AND pre:tok:people) OR pre:tok:army)
73,(((oth:overlap:overlap75 OR pre:tok:his) OR pre:tok:one) OR hyp:tok:outside)
74,((NOT hyp:tok:are) AND (hyp:tok:humans OR pre:tok:pick))
75,(hyp:tok:home OR pre:tok:performs)
76,((oth:overlap:overlap50 OR pre:tok:white) OR pre:tok:girl)
77,((pre:tok:design OR pre:tok:placing) OR pre:tok:folding)
78,(hyp:tok:sunny AND pre:tok:her)
79,((((hyp:tok:smiling AND pre:tok:smile) OR pre:tok:lunch) AND (NOT pre:tok:in)) AND (NOT oth:overlap:overlap50))
80,((pre:tok:goat OR pre:tok:younger) AND hyp:tok:are)
81,((NOT oth:overlap:overlap25) AND (hyp:tok:church OR pre:tok:us))
82,(((pre:tok:cherry OR pre:tok:picking) OR pre:tok:angry) OR hyp:tok:bottom)
83,(((hyp:tok:home AND pre:tok:from) AND hyp:tok:is) OR hyp:tok:handing)
84,(oth:overlap:overlap50 OR pre:tok:race)
85,(hyp:tok:in OR pre:tok:next)
86,(((hyp:tok:his OR pre:tok:with) OR pre:tok:standing) AND (NOT oth:overlap:overlap50))
87,((((hyp:tok:guys OR pre:tok:instruments) OR pre:tok:checks) OR hyp:tok:angry) AND (NOT oth:overlap:overlap50))
88,(((hyp:tok:whose OR pre:tok:pumpkin) OR hyp:tok:above) AND oth:overlap:overlap50)
89,(hyp:tok:drinking OR pre:tok:riding)
90,((((hyp:tok:at OR hyp:tok:her) OR hyp:tok:eating) OR hyp:tok:building) OR hyp:tok:chasing)
91,((hyp:tok:preparing AND pre:tok:from) OR pre:tok:upset)
92,(((hyp:tok:dinner AND pre:tok:food) OR hyp:tok:airplane) AND (NOT hyp:tok:is))
93,((hyp:tok:daughter OR pre:tok:straight) OR hyp:tok:fisherman)
94,((NOT pre:tok:and) AND (hyp:tok:at OR pre:tok:bike))
95,(hyp:tok:old AND pre:tok:white)
96,(hyp:tok:cross OR hyp:tok:dinner)
97,((NOT pre:tok:running) AND (hyp:tok:chess OR hyp:tok:running))
98,(hyp:tok:airport AND pre:tok:young)
99,(((NOT pre:tok:on) AND hyp:tok:ground) OR hyp:tok:hydrant)
100,(hyp:tok:pants OR pre:tok:guitar)
101,(((NOT hyp:tok:sitting) AND (hyp:tok:down OR pre:tok:sitting)) OR pre:tok:four)
102,(((hyp:tok:instruments OR hyp:tok:observe) OR pre:tok:checks) AND (NOT pre:tok:as))
103,(((hyp:tok:and AND hyp:tok:walk) OR pre:tok:karate) OR hyp:tok:low)
104,((hyp:tok:in AND hyp:tok:riding) OR pre:tok:boards)
105,(((hyp:tok:among OR pre:tok:puts) AND pre:tok:at) OR pre:tok:television)
106,(((NOT pre:tok:is) AND (hyp:tok:derby OR pre:tok:jogging)) OR hyp:tok:holiday)
107,((((NOT pre:tok:men) AND oth:overlap:overlap75) OR hyp:tok:nobody) OR pre:tok:glass)
108,((NOT pre:tok:two) AND hyp:tok:outside)
109,(hyp:tok:eating OR hyp:tok:sleeps)
110,(hyp:tok:jet OR hyp:tok:tea)
111,((((NOT oth:overlap:overlap25) AND (pre:tok:people OR pre:tok:with)) OR pre:tok:their) OR pre:tok:stand)
112,(pre:tok:man OR pre:tok:with)
113,((((hyp:tok:countryside OR hyp:tok:newspapers) AND pre:tok:on) OR hyp:tok:tables) AND pre:tok:man)
114,(((hyp:tok:protective OR hyp:tok:shoot) OR hyp:tok:pretending) AND pre:tok:and)
115,(((hyp:tok:and OR pre:tok:man) OR hyp:tok:at) OR pre:tok:out)
116,(hyp:tok:is AND pre:tok:antique)
117,((hyp:tok:are AND hyp:tok:down) OR hyp:tok:truck)
118,(((hyp:tok:empty OR hyp:tok:swimming) AND pre:tok:is) OR pre:tok:giant)
119,((NOT oth:overlap:overlap75) AND (hyp:tok:for OR hyp:tok:to))
120,(((hyp:tok:motor OR pre:tok:motor) AND hyp:tok:women) OR hyp:tok:yelling)
121,((((hyp:tok:maintenance OR hyp:tok:tan) OR hyp:tok:boards) OR hyp:tok:lead) OR hyp:tok:spinning)
122,((((NOT oth:overlap:overlap50) AND (hyp:tok:dog OR hyp:tok:in)) AND (NOT hyp:tok:people)) AND (NOT pre:tok:his))
123,((hyp:tok:house OR pre:tok:leaping) OR pre:tok:leaf)
124,((pre:tok:sitting AND pre:tok:women) OR pre:tok:rowboat)
125,((hyp:tok:lake AND pre:tok:are) AND hyp:tok:in)
126,((hyp:tok:apartment OR hyp:tok:creating) OR hyp:tok:caught)
127,((hyp:tok:ladies OR hyp:tok:tv) OR pre:tok:cherry)
128,(((hyp:tok:asleep OR hyp:tok:for) OR hyp:tok:sad) OR hyp:tok:family)
129,((((NOT pre:tok:is) AND (hyp:tok:derby OR pre:tok:jogging)) OR hyp:tok:holiday) AND (NOT hyp:tok:on))
130,((((hyp:tok:sleeping OR hyp:tok:swimming) OR hyp:tok:cat) OR hyp:tok:bed) OR hyp:tok:couch)
131,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:dog) OR hyp:tok:looks) AND (NOT pre:tok:to))
132,(hyp:tok:room AND hyp:tok:two)
133,(((hyp:tok:home OR pre:tok:performs) OR hyp:tok:pizza) OR hyp:tok:naked)
134,(((NOT pre:tok:is) AND (hyp:tok:is AND hyp:tok:park)) AND (NOT pre:tok:with))
135,((hyp:tok:female OR hyp:tok:video) AND pre:tok:in)
136,(hyp:tok:is OR pre:tok:blue)
137,((((hyp:tok:is OR pre:tok:girl) OR hyp:tok:for) OR hyp:tok:his) OR pre:tok:lady)
138,((hyp:tok:home AND pre:tok:holding) AND hyp:tok:is)
139,(hyp:tok:arms AND pre:tok:black)
140,((hyp:tok:sleeping OR hyp:tok:swimming) OR hyp:tok:cat)
141,(hyp:tok:chases AND pre:tok:through)
142,(((((NOT oth:overlap:overlap25) AND hyp:tok:is) OR hyp:tok:home) OR hyp:tok:they) OR pre:tok:waiting)
143,(((hyp:tok:pots OR pre:tok:camping) OR pre:tok:meet) OR hyp:tok:hiding)
144,(((hyp:tok:cows AND pre:tok:people) OR pre:tok:numbers) AND (NOT pre:tok:on))
145,(hyp:tok:cafe OR hyp:tok:sleeps)
146,(hyp:tok:there AND pre:tok:nutcracker)
147,(((((NOT pre:tok:on) AND hyp:tok:swimming) AND oth:overlap:overlap25) AND hyp:tok:in) AND (NOT pre:tok:is))
148,(hyp:tok:snowy OR hyp:tok:yelling)
149,((hyp:tok:eating OR pre:tok:microphone) OR hyp:tok:laying)
150,((hyp:tok:arms AND pre:tok:black) OR hyp:tok:hooded)
151,((((pre:tok:book AND pre:tok:in) OR pre:tok:tunnel) OR hyp:tok:countryside) AND (NOT pre:tok:on))
152,(pre:tok:hot AND pre:tok:little)
153,(hyp:tok:trunks OR pre:tok:bat)
154,((NOT oth:overlap:overlap50) AND (hyp:tok:and OR hyp:tok:is))
155,(hyp:tok:asleep OR hyp:tok:for)
156,(((((NOT oth:overlap:overlap25) AND pre:tok:blue) OR hyp:tok:swimming) OR hyp:tok:drives) OR pre:tok:different)
157,((((hyp:tok:to OR oth:overlap:overlap50) OR hyp:tok:person) OR pre:tok:play) AND (NOT hyp:tok:group))
158,((hyp:tok:cat OR hyp:tok:sleeping) OR hyp:tok:sleep)
159,((((oth:overlap:overlap50 OR pre:tok:white) OR pre:tok:girl) AND (NOT pre:tok:at)) OR pre:tok:suit)
160,((hyp:tok:riders OR pre:tok:clown) OR hyp:tok:legs)
161,((((NOT pre:tok:running) AND hyp:tok:running) AND oth:overlap:overlap25) AND (NOT hyp:tok:man))
162,((((hyp:tok:snowy OR hyp:tok:yelling) OR pre:tok:angry) OR hyp:tok:among) OR hyp:tok:discussing)
163,(((hyp:tok:in AND hyp:tok:swimming) OR hyp:tok:enjoy) OR hyp:tok:roller)
164,((NOT hyp:tok:are) AND hyp:tok:swimming)
165,(hyp:tok:identical OR hyp:tok:mouths)
166,((((hyp:tok:scarves OR pre:tok:easter) OR pre:tok:cook) OR pre:tok:wild) OR hyp:tok:desks)
167,(((hyp:tok:for AND hyp:tok:jump) OR hyp:tok:referee) OR pre:tok:unicycle)
168,(((hyp:tok:chases AND pre:tok:through) OR pre:tok:studio) AND (NOT hyp:tok:is))
169,((hyp:tok:swimming OR hyp:tok:waiting) OR hyp:tok:dinner)
170,(pre:tok:sitting AND pre:tok:women)
171,((NOT oth:overlap:overlap50) AND (pre:tok:pose OR pre:tok:walking))
172,(hyp:tok:there AND pre:tok:to)
173,(hyp:tok:sad OR pre:tok:snow)
174,((hyp:tok:edge OR hyp:tok:tattoo) AND pre:tok:in)
175,((((hyp:tok:- AND pre:tok:while) OR hyp:tok:!) OR pre:tok:fast) OR pre:tok:desks)
176,((pre:tok:book AND pre:tok:in) OR pre:tok:tunnel)
177,(hyp:tok:years OR pre:tok:nap)
178,(hyp:tok:in AND pre:tok:rock)
179,(((hyp:tok:lap OR hyp:tok:television) OR hyp:tok:pig) OR hyp:tok:bedroom)
180,((((hyp:tok:helps OR hyp:tok:tunnel) AND pre:tok:is) OR hyp:tok:soap) AND (NOT oth:overlap:overlap25))
181,((((NOT pre:tok:man) AND hyp:tok:wearing) AND hyp:tok:is) OR pre:tok:pet)
182,((((hyp:tok:guitarist OR pre:tok:images) OR hyp:tok:fan) AND oth:overlap:overlap50) AND (NOT pre:tok:down))
183,(((hyp:tok:professional OR pre:tok:ceremony) AND pre:tok:on) OR pre:tok:sunset)
184,(oth:overlap:overlap75 OR pre:tok:items)
185,((hyp:tok:eating AND pre:tok:beach) AND pre:tok:and)
186,(pre:tok:doctors OR pre:tok:numbered)
187,((hyp:tok:robe AND hyp:tok:white) OR hyp:tok:protecting)
188,((((hyp:tok:are AND pre:tok:tent) OR hyp:tok:number) OR hyp:tok:scarves) OR hyp:tok:tiles)
189,((((hyp:tok:tired OR hyp:tok:yellow) AND hyp:tok:man) OR pre:tok:chat) AND (NOT oth:overlap:overlap50))
190,(((hyp:tok:outdoors OR hyp:tok:there) OR hyp:tok:something) OR hyp:tok:trick)
191,(((((NOT oth:overlap:overlap25) AND hyp:tok:couch) AND pre:tok:man) OR hyp:tok:pocket) AND (NOT pre:tok:into))
192,((((hyp:tok:not OR oth:overlap:overlap75) OR hyp:tok:nobody) AND (NOT pre:tok:walking)) AND (NOT pre:tok:young))
193,(NOT hyp:tok:group)
194,((((hyp:tok:drums OR hyp:tok:swimming) OR hyp:tok:roller) OR pre:tok:snowman) AND (NOT oth:overlap:overlap75))
195,((((NOT hyp:tok:to) AND (oth:overlap:overlap50 OR pre:tok:two)) AND (NOT pre:tok:street)) AND (NOT hyp:tok:two))
196,(((hyp:tok:down OR hyp:tok:eating) OR hyp:tok:sleeps) AND (NOT oth:overlap:overlap50))
197,((((hyp:tok:down OR hyp:tok:eating) OR hyp:tok:sleeps) AND (NOT oth:overlap:overlap50)) OR pre:tok:button)
198,((((hyp:tok:pants OR pre:tok:guitar) OR hyp:tok:activity) OR hyp:tok:least) OR hyp:tok:object)
199,(hyp:tok:for OR hyp:tok:park)
200,(((hyp:tok:swimming OR pre:tok:swimming) OR hyp:tok:coffee) OR hyp:tok:television)
201,(((hyp:tok:drums OR hyp:tok:swimming) OR hyp:tok:roller) OR pre:tok:snowman)
202,(((NOT hyp:tok:to) AND (oth:overlap:overlap50 OR pre:tok:two)) AND (NOT pre:tok:street))
203,(hyp:tok:sandwiches OR pre:tok:easter)
204,(((NOT oth:overlap:overlap25) AND pre:tok:on) OR hyp:tok:for)
205,(((NOT oth:overlap:overlap25) AND (hyp:tok:dry OR pre:tok:least)) OR hyp:tok:brushes)
206,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:next)) OR hyp:tok:eating) OR pre:tok:asian)
207,(hyp:tok:middle AND hyp:tok:swimming)
208,(((hyp:tok:at OR hyp:tok:her) OR hyp:tok:eating) OR hyp:tok:building)
209,(hyp:tok:bed OR hyp:tok:ocean)
210,((((NOT hyp:tok:are) AND hyp:tok:swimming) AND (NOT oth:overlap:overlap75)) OR hyp:tok:draped)
211,((((NOT oth:overlap:overlap50) AND (pre:tok:pose OR pre:tok:walking)) OR pre:tok:talks) OR pre:tok:grocery)
212,((hyp:tok:home AND pre:tok:at) OR pre:tok:pipe)
213,(hyp:tok:are AND pre:tok:father)
214,(hyp:tok:girl AND hyp:tok:push)
215,(hyp:tok:swimming AND pre:tok:two)
216,((hyp:tok:outside OR oth:overlap:overlap75) OR pre:tok:stand)
217,((((hyp:tok:edge OR hyp:tok:tattoo) AND pre:tok:in) OR hyp:tok:surf) AND pre:tok:is)
218,((hyp:tok:driving OR hyp:tok:field) OR pre:tok:kids)
219,((((hyp:tok:outside OR oth:overlap:overlap75) OR pre:tok:stand) OR pre:tok:arm) AND (NOT hyp:tok:on))
220,(((hyp:tok:writing OR pre:tok:lunch) OR pre:tok:nap) OR pre:tok:surfing)
221,(((hyp:tok:ramp OR hyp:tok:snowball) OR pre:tok:struggling) OR hyp:tok:suspended)
222,((hyp:tok:there AND pre:tok:to) OR pre:tok:crane)
223,((NOT pre:tok:with) AND (hyp:tok:displaying OR pre:tok:army))
224,((((hyp:tok:softball OR pre:tok:upset) AND hyp:tok:man) OR hyp:tok:onlookers) AND pre:tok:in)
225,(((hyp:tok:chasing OR hyp:tok:playing) OR hyp:tok:middle) AND (NOT pre:tok:playing))
226,(hyp:tok:pots OR pre:tok:camping)
227,(hyp:tok:is OR pre:tok:girl)
228,(oth:overlap:overlap50 OR pre:tok:white)
229,((NOT pre:tok:is) AND (hyp:tok:is AND hyp:tok:park))
230,((NOT oth:overlap:overlap25) AND (pre:tok:people OR pre:tok:with))
231,(((hyp:tok:scarves OR pre:tok:easter) OR pre:tok:cook) OR pre:tok:wild)
232,((((hyp:tok:black AND hyp:tok:wearing) OR pre:tok:backpacks) AND (NOT oth:overlap:overlap75)) AND (NOT pre:tok:are))
233,((hyp:tok:old AND pre:tok:white) AND pre:tok:sitting)
234,((NOT pre:tok:his) AND hyp:tok:popsicle)
235,(hyp:tok:at OR pre:tok:bike)
236,(((((NOT pre:tok:two) AND hyp:tok:outside) OR hyp:tok:outdoors) AND (NOT pre:tok:people)) AND (NOT pre:tok:blue))
237,(hyp:tok:lap OR hyp:tok:television)
238,((NOT pre:tok:with) AND (hyp:tok:his OR pre:tok:two))
239,(hyp:tok:herself AND pre:tok:woman)
240,((hyp:tok:guitars OR hyp:tok:spinning) OR hyp:tok:bottles)
241,(((hyp:tok:for OR hyp:tok:to) OR hyp:tok:their) OR hyp:tok:during)
242,((((hyp:tok:computer OR hyp:tok:image) OR hyp:tok:wrestlers) OR hyp:tok:science) OR hyp:tok:produce)
243,(hyp:tok:tall AND pre:tok:two)
244,(NOT pre:tok:running)
245,(((((NOT pre:tok:on) AND hyp:tok:ground) OR hyp:tok:hydrant) OR pre:tok:weather) AND (NOT pre:tok:while))
246,(((NOT oth:overlap:overlap25) AND hyp:tok:sidewalk) OR hyp:tok:within)
247,((NOT pre:tok:men) AND oth:overlap:overlap75)
248,((hyp:tok:indoors OR hyp:tok:machine) OR pre:tok:bearded)
249,((((hyp:tok:house OR pre:tok:leaping) OR pre:tok:leaf) OR hyp:tok:parked) OR hyp:tok:half)
250,((hyp:tok:n't OR hyp:tok:nobody) OR pre:tok:use)
251,((hyp:tok:finished OR pre:tok:enter) OR hyp:tok:bridal)
252,((((hyp:tok:holding OR hyp:tok:wearing) OR pre:tok:skateboard) OR pre:tok:skateboarding) AND (NOT pre:tok:while))
253,(((hyp:tok:edge OR hyp:tok:tattoo) AND pre:tok:in) OR hyp:tok:surf)
254,(((hyp:tok:people AND hyp:tok:snow) AND pre:tok:snow) AND hyp:tok:in)
255,((((hyp:tok:on AND pre:tok:multiple) OR hyp:tok:boards) OR pre:tok:heading) AND (NOT oth:overlap:overlap50))
256,(((hyp:tok:mirror OR hyp:tok:sandwiches) OR hyp:tok:sound) AND (NOT pre:tok:in))
257,((((hyp:tok:empty OR hyp:tok:swimming) AND pre:tok:is) OR pre:tok:giant) OR pre:tok:mirror)
258,((hyp:tok:is OR pre:tok:girl) OR hyp:tok:for)
259,(((((NOT pre:tok:man) AND hyp:tok:wearing) AND hyp:tok:is) OR pre:tok:pet) OR hyp:tok:sleep)
260,(((hyp:tok:swimming OR hyp:tok:waiting) OR hyp:tok:dinner) OR pre:tok:masks)
261,((((NOT pre:tok:on) AND hyp:tok:swimming) AND oth:overlap:overlap25) AND hyp:tok:in)
262,((NOT pre:tok:with) AND (hyp:tok:outdoors OR hyp:tok:outside))
263,(((hyp:tok:friends OR hyp:tok:shopping) OR hyp:tok:sister) OR hyp:tok:trip)
264,((hyp:tok:outdoors OR hyp:tok:there) OR hyp:tok:something)
265,(hyp:tok:are AND hyp:tok:golden)
266,(((hyp:tok:outside AND pre:tok:golfer) OR pre:tok:turns) AND (NOT hyp:tok:is))
267,(((hyp:tok:down OR pre:tok:stage) OR hyp:tok:pool) OR hyp:tok:bench)
268,((hyp:tok:whose OR pre:tok:pumpkin) OR hyp:tok:above)
269,((hyp:tok:finishing OR hyp:tok:shoveling) OR pre:tok:easter)
270,(hyp:tok:tired AND pre:tok:white)
271,((hyp:tok:moon OR hyp:tok:outdoors) OR pre:tok:night)
272,((hyp:tok:walking AND oth:overlap:overlap75) OR hyp:tok:look)
273,((oth:overlap:overlap50 OR pre:tok:play) OR hyp:tok:person)
274,(hyp:tok:people AND hyp:tok:snow)
275,((NOT pre:tok:in) AND hyp:tok:bass)
276,(hyp:tok:lunch OR hyp:tok:sits)
277,((hyp:tok:computer OR hyp:tok:image) OR hyp:tok:wrestlers)
278,(hyp:tok:in AND hyp:tok:swimming)
279,((((hyp:tok:asleep OR hyp:tok:nobody) OR hyp:tok:naked) OR hyp:tok:sleeps) OR hyp:tok:nothing)
280,(hyp:tok:sandals OR pre:tok:apartment)
281,((((hyp:tok:female OR hyp:tok:video) AND pre:tok:in) OR hyp:tok:ft) OR pre:tok:chat)
282,((((hyp:tok:swimming OR hyp:tok:tv) OR hyp:tok:blanket) AND (NOT oth:overlap:overlap50)) OR hyp:tok:magazine)
283,((hyp:tok:swimming AND pre:tok:orange) OR hyp:tok:empty)
284,(hyp:tok:swimming OR hyp:tok:waiting)
285,(((NOT pre:tok:running) AND (hyp:tok:chess OR hyp:tok:running)) OR hyp:tok:new)
286,((((hyp:tok:home OR pre:tok:performs) OR hyp:tok:pizza) OR hyp:tok:naked) OR hyp:tok:bed)
287,(pre:tok:skateboarder OR pre:tok:snowman)
288,((((NOT pre:tok:people) AND hyp:tok:nobody) AND (NOT pre:tok:front)) AND (NOT pre:tok:is))
289,((((NOT oth:overlap:overlap50) AND hyp:tok:outdoors) AND (NOT pre:tok:man)) AND (NOT hyp:tok:there))
290,(((pre:tok:design OR pre:tok:placing) OR pre:tok:folding) OR pre:tok:telling)
291,((hyp:tok:lunch OR hyp:tok:sits) OR hyp:tok:chair)
292,(hyp:tok:preparing AND pre:tok:from)
293,((((hyp:tok:among OR pre:tok:puts) AND pre:tok:at) OR pre:tok:television) OR hyp:tok:skate)
294,((hyp:tok:at AND hyp:tok:coffee) AND hyp:tok:drinking)
295,(((hyp:tok:rope OR pre:tok:uniformed) AND hyp:tok:are) OR hyp:tok:sandwiches)
296,(((oth:overlap:overlap50 OR pre:tok:white) OR pre:tok:girl) AND (NOT pre:tok:at))
297,(hyp:tok:swimming OR pre:tok:swimming)
298,((hyp:tok:barely OR hyp:tok:sweater) OR hyp:tok:tie)
299,((((hyp:tok:inside OR hyp:tok:kitchen) OR hyp:tok:bar) AND (NOT oth:overlap:overlap50)) OR pre:tok:cafe)
300,(((((NOT hyp:tok:are) AND hyp:tok:swimming) AND (NOT oth:overlap:overlap75)) OR hyp:tok:draped) AND (NOT pre:tok:his))
301,(hyp:tok:soldier AND pre:tok:are)
302,(((NOT hyp:tok:are) AND hyp:tok:swimming) AND (NOT oth:overlap:overlap75))
303,((((hyp:tok:swimming AND pre:tok:orange) OR hyp:tok:empty) AND (NOT pre:tok:on)) OR hyp:tok:sandwiches)
304,(((hyp:tok:running AND pre:tok:woman) OR pre:tok:flowered) OR hyp:tok:i)
305,(hyp:tok:man AND hyp:tok:snowboarder)
306,(hyp:tok:at OR hyp:tok:in)
307,(pre:tok:living OR pre:tok:shaving)
308,(((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:next)) OR hyp:tok:eating)
309,((((NOT pre:tok:while) AND hyp:tok:is) OR pre:tok:by) AND (NOT hyp:tok:his))
310,((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:blue))
311,((hyp:tok:cows AND pre:tok:people) OR pre:tok:numbers)
312,((((hyp:tok:lap OR hyp:tok:television) OR hyp:tok:pig) OR hyp:tok:bedroom) OR hyp:tok:clean)
313,((((NOT pre:tok:and) AND (hyp:tok:at OR pre:tok:bike)) OR hyp:tok:green) OR hyp:tok:white)
314,((hyp:tok:cross OR hyp:tok:dinner) OR pre:tok:tattoos)
315,((((hyp:tok:is OR hyp:tok:people) OR hyp:tok:woman) AND (NOT pre:tok:street)) AND (NOT hyp:tok:girl))
316,((hyp:tok:home AND pre:tok:seat) OR hyp:tok:waters)
317,(NOT pre:tok:camera)
318,(((((NOT pre:tok:running) AND hyp:tok:running) AND oth:overlap:overlap25) AND (NOT hyp:tok:man)) AND (NOT pre:tok:two))
319,(hyp:tok:humans OR pre:tok:pick)
320,((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:walking))
321,(((hyp:tok:in AND pre:tok:rock) OR hyp:tok:dishes) AND hyp:tok:man)
322,(((NOT hyp:tok:with) AND (hyp:tok:favorite OR hyp:tok:tall)) AND (NOT pre:tok:standing))
323,(((hyp:tok:hoops OR hyp:tok:rollerblading) OR hyp:tok:outer) OR pre:tok:turns)
324,(((hyp:tok:group AND pre:tok:motorcyclists) OR hyp:tok:sofa) AND pre:tok:background)
325,(pre:tok:hikers OR pre:tok:lane)
326,(((NOT oth:overlap:overlap25) AND hyp:tok:is) OR hyp:tok:home)
327,((((hyp:tok:dinner AND pre:tok:food) OR hyp:tok:airplane) AND (NOT hyp:tok:is)) OR hyp:tok:rocky)
