,lost_concepts
47,(hyp:tok:robe AND hyp:tok:white)
48,(((hyp:tok:last AND pre:tok:two) OR hyp:tok:photographs) AND (NOT pre:tok:man))
49,((((hyp:tok:friends OR hyp:tok:running) OR hyp:tok:chasing) OR hyp:tok:herself) OR pre:tok:hanging)
50,(hyp:tok:speed AND pre:tok:two)
51,(NOT pre:tok:old)
52,(hyp:tok:derby OR pre:tok:jogging)
53,(pre:tok:little OR pre:tok:young)
54,((hyp:tok:pool OR hyp:tok:swimming) OR hyp:tok:surfing)
55,((((hyp:tok:bowls OR hyp:tok:knitting) AND hyp:tok:woman) OR pre:tok:lemons) AND pre:tok:woman)
56,(((hyp:tok:home AND pre:tok:at) OR pre:tok:pipe) OR hyp:tok:championship)
57,((((NOT pre:tok:with) AND (hyp:tok:his OR pre:tok:two)) AND (NOT hyp:tok:people)) OR hyp:tok:getting)
58,(hyp:tok:man AND pre:tok:guitars)
59,(((((NOT pre:tok:sitting) AND hyp:tok:sitting) OR pre:tok:studying) AND (NOT pre:tok:to)) AND (NOT pre:tok:sits))
60,(hyp:tok:in OR pre:tok:dressed)
61,((NOT pre:tok:and) AND (hyp:tok:football AND pre:tok:football))
62,(NOT hyp:tok:girl)
63,((hyp:tok:too AND pre:tok:woman) OR pre:tok:forehead)
64,((hyp:tok:asleep OR hyp:tok:nobody) OR hyp:tok:naked)
65,(hyp:tok:and OR hyp:tok:skateboarder)
66,((((hyp:tok:blue OR hyp:tok:eating) OR hyp:tok:green) AND (NOT pre:tok:on)) OR hyp:tok:eats)
67,((hyp:tok:instruments OR hyp:tok:observe) OR pre:tok:checks)
68,((((NOT pre:tok:and) AND (hyp:tok:football AND pre:tok:football)) OR hyp:tok:protection) OR hyp:tok:tan)
69,(((NOT pre:tok:man) AND hyp:tok:wearing) AND hyp:tok:is)
70,((((NOT pre:tok:dog) AND hyp:tok:dog) OR pre:tok:compete) OR hyp:tok:marathon)
71,(hyp:tok:hoops OR hyp:tok:rollerblading)
72,((hyp:tok:groceries AND pre:tok:people) OR pre:tok:army)
73,(((oth:overlap:overlap75 OR pre:tok:his) OR pre:tok:one) OR hyp:tok:outside)
74,((NOT hyp:tok:are) AND (hyp:tok:humans OR pre:tok:pick))
75,(hyp:tok:home OR pre:tok:performs)
76,((oth:overlap:overlap50 OR pre:tok:white) OR pre:tok:girl)
77,((pre:tok:design OR pre:tok:placing) OR pre:tok:folding)
78,(hyp:tok:sunny AND pre:tok:her)
79,((((hyp:tok:smiling AND pre:tok:smile) OR pre:tok:lunch) AND (NOT pre:tok:in)) AND (NOT oth:overlap:overlap50))
80,((pre:tok:goat OR pre:tok:younger) AND hyp:tok:are)
81,((NOT oth:overlap:overlap25) AND (hyp:tok:church OR pre:tok:us))
82,(((pre:tok:cherry OR pre:tok:picking) OR pre:tok:angry) OR hyp:tok:bottom)
83,(((hyp:tok:home AND pre:tok:from) AND hyp:tok:is) OR hyp:tok:handing)
84,(oth:overlap:overlap50 OR pre:tok:race)
85,(hyp:tok:in OR pre:tok:next)
86,(((hyp:tok:his OR pre:tok:with) OR pre:tok:standing) AND (NOT oth:overlap:overlap50))
87,((((hyp:tok:guys OR pre:tok:instruments) OR pre:tok:checks) OR hyp:tok:angry) AND (NOT oth:overlap:overlap50))
88,(((hyp:tok:whose OR pre:tok:pumpkin) OR hyp:tok:above) AND oth:overlap:overlap50)
89,(hyp:tok:drinking OR pre:tok:riding)
90,((((hyp:tok:at OR hyp:tok:her) OR hyp:tok:eating) OR hyp:tok:building) OR hyp:tok:chasing)
91,((hyp:tok:preparing AND pre:tok:from) OR pre:tok:upset)
92,(((hyp:tok:dinner AND pre:tok:food) OR hyp:tok:airplane) AND (NOT hyp:tok:is))
93,((hyp:tok:daughter OR pre:tok:straight) OR hyp:tok:fisherman)
94,((NOT pre:tok:and) AND (hyp:tok:at OR pre:tok:bike))
95,(hyp:tok:old AND pre:tok:white)
96,(hyp:tok:cross OR hyp:tok:dinner)
97,((NOT pre:tok:running) AND (hyp:tok:chess OR hyp:tok:running))
98,(hyp:tok:airport AND pre:tok:young)
99,(((NOT pre:tok:on) AND hyp:tok:ground) OR hyp:tok:hydrant)
100,(hyp:tok:pants OR pre:tok:guitar)
101,(NOT pre:tok:near)
102,(((hyp:tok:instruments OR hyp:tok:observe) OR pre:tok:checks) AND (NOT pre:tok:as))
103,(((NOT hyp:tok:sitting) AND (hyp:tok:down OR pre:tok:sitting)) OR pre:tok:four)
104,(((hyp:tok:and AND hyp:tok:walk) OR pre:tok:karate) OR hyp:tok:low)
105,((hyp:tok:in AND hyp:tok:riding) OR pre:tok:boards)
106,(((hyp:tok:among OR pre:tok:puts) AND pre:tok:at) OR pre:tok:television)
107,(((NOT pre:tok:is) AND (hyp:tok:derby OR pre:tok:jogging)) OR hyp:tok:holiday)
108,((((NOT pre:tok:men) AND oth:overlap:overlap75) OR hyp:tok:nobody) OR pre:tok:glass)
109,((NOT pre:tok:two) AND hyp:tok:outside)
110,(hyp:tok:eating OR hyp:tok:sleeps)
111,(hyp:tok:jet OR hyp:tok:tea)
112,((((NOT oth:overlap:overlap25) AND (pre:tok:people OR pre:tok:with)) OR pre:tok:their) OR pre:tok:stand)
113,(pre:tok:man OR pre:tok:with)
114,((((hyp:tok:countryside OR hyp:tok:newspapers) AND pre:tok:on) OR hyp:tok:tables) AND pre:tok:man)
115,(((hyp:tok:protective OR hyp:tok:shoot) OR hyp:tok:pretending) AND pre:tok:and)
116,(((hyp:tok:and OR pre:tok:man) OR hyp:tok:at) OR pre:tok:out)
117,(hyp:tok:is AND pre:tok:antique)
118,((hyp:tok:are AND hyp:tok:down) OR hyp:tok:truck)
119,(((hyp:tok:empty OR hyp:tok:swimming) AND pre:tok:is) OR pre:tok:giant)
120,((NOT oth:overlap:overlap75) AND (hyp:tok:for OR hyp:tok:to))
121,(((hyp:tok:motor OR pre:tok:motor) AND hyp:tok:women) OR hyp:tok:yelling)
122,((((hyp:tok:maintenance OR hyp:tok:tan) OR hyp:tok:boards) OR hyp:tok:lead) OR hyp:tok:spinning)
123,((((NOT oth:overlap:overlap50) AND (hyp:tok:dog OR hyp:tok:in)) AND (NOT hyp:tok:people)) AND (NOT pre:tok:his))
124,((hyp:tok:house OR pre:tok:leaping) OR pre:tok:leaf)
125,((pre:tok:sitting AND pre:tok:women) OR pre:tok:rowboat)
126,((hyp:tok:lake AND pre:tok:are) AND hyp:tok:in)
127,(((NOT pre:tok:sitting) AND (hyp:tok:asleep OR hyp:tok:sitting)) OR hyp:tok:sleeps)
128,((hyp:tok:apartment OR hyp:tok:creating) OR hyp:tok:caught)
129,(hyp:tok:asleep OR hyp:tok:nobody)
130,((hyp:tok:ladies OR hyp:tok:tv) OR pre:tok:cherry)
131,(((hyp:tok:asleep OR hyp:tok:for) OR hyp:tok:sad) OR hyp:tok:family)
132,((((NOT pre:tok:is) AND (hyp:tok:derby OR pre:tok:jogging)) OR hyp:tok:holiday) AND (NOT hyp:tok:on))
133,((((hyp:tok:sleeping OR hyp:tok:swimming) OR hyp:tok:cat) OR hyp:tok:bed) OR hyp:tok:couch)
134,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:dog) OR hyp:tok:looks) AND (NOT pre:tok:to))
135,(hyp:tok:room AND hyp:tok:two)
136,(((hyp:tok:home OR pre:tok:performs) OR hyp:tok:pizza) OR hyp:tok:naked)
137,(((NOT pre:tok:is) AND (hyp:tok:is AND hyp:tok:park)) AND (NOT pre:tok:with))
138,((hyp:tok:female OR hyp:tok:video) AND pre:tok:in)
139,(hyp:tok:is OR pre:tok:blue)
140,((((hyp:tok:is OR pre:tok:girl) OR hyp:tok:for) OR hyp:tok:his) OR pre:tok:lady)
141,((hyp:tok:home AND pre:tok:holding) AND hyp:tok:is)
142,(hyp:tok:arms AND pre:tok:black)
143,((hyp:tok:sleeping OR hyp:tok:swimming) OR hyp:tok:cat)
144,(hyp:tok:dogs AND pre:tok:tank)
145,(((((NOT oth:overlap:overlap25) AND hyp:tok:is) OR hyp:tok:home) OR hyp:tok:they) OR pre:tok:waiting)
146,(hyp:tok:chases AND pre:tok:through)
147,(((hyp:tok:cows AND pre:tok:people) OR pre:tok:numbers) AND (NOT pre:tok:on))
148,(((hyp:tok:pots OR pre:tok:camping) OR pre:tok:meet) OR hyp:tok:hiding)
149,(hyp:tok:there AND pre:tok:nutcracker)
150,(hyp:tok:cafe OR hyp:tok:sleeps)
151,(((((NOT pre:tok:on) AND hyp:tok:swimming) AND oth:overlap:overlap25) AND hyp:tok:in) AND (NOT pre:tok:is))
152,(hyp:tok:snowy OR hyp:tok:yelling)
153,((hyp:tok:eating OR pre:tok:microphone) OR hyp:tok:laying)
154,((hyp:tok:arms AND pre:tok:black) OR hyp:tok:hooded)
155,((((pre:tok:book AND pre:tok:in) OR pre:tok:tunnel) OR hyp:tok:countryside) AND (NOT pre:tok:on))
156,(pre:tok:hot AND pre:tok:little)
157,(hyp:tok:trunks OR pre:tok:bat)
158,((NOT oth:overlap:overlap50) AND (hyp:tok:and OR hyp:tok:is))
159,(hyp:tok:asleep OR hyp:tok:for)
160,(((((NOT oth:overlap:overlap25) AND pre:tok:blue) OR hyp:tok:swimming) OR hyp:tok:drives) OR pre:tok:different)
161,((((hyp:tok:to OR oth:overlap:overlap50) OR hyp:tok:person) OR pre:tok:play) AND (NOT hyp:tok:group))
162,((hyp:tok:cat OR hyp:tok:sleeping) OR hyp:tok:sleep)
163,((((oth:overlap:overlap50 OR pre:tok:white) OR pre:tok:girl) AND (NOT pre:tok:at)) OR pre:tok:suit)
164,((hyp:tok:riders OR pre:tok:clown) OR hyp:tok:legs)
165,((((NOT pre:tok:running) AND hyp:tok:running) AND oth:overlap:overlap25) AND (NOT hyp:tok:man))
166,((((hyp:tok:snowy OR hyp:tok:yelling) OR pre:tok:angry) OR hyp:tok:among) OR hyp:tok:discussing)
167,(((hyp:tok:in AND hyp:tok:swimming) OR hyp:tok:enjoy) OR hyp:tok:roller)
168,(NOT pre:tok:looking)
169,((NOT hyp:tok:are) AND hyp:tok:swimming)
170,(hyp:tok:identical OR hyp:tok:mouths)
171,(((hyp:tok:for AND hyp:tok:jump) OR hyp:tok:referee) OR pre:tok:unicycle)
172,((((hyp:tok:scarves OR pre:tok:easter) OR pre:tok:cook) OR pre:tok:wild) OR hyp:tok:desks)
173,(((hyp:tok:chases AND pre:tok:through) OR pre:tok:studio) AND (NOT hyp:tok:is))
174,((hyp:tok:swimming OR hyp:tok:waiting) OR hyp:tok:dinner)
175,(pre:tok:sitting AND pre:tok:women)
176,((NOT oth:overlap:overlap50) AND (pre:tok:pose OR pre:tok:walking))
177,(hyp:tok:there AND pre:tok:to)
178,(hyp:tok:sad OR pre:tok:snow)
179,((hyp:tok:edge OR hyp:tok:tattoo) AND pre:tok:in)
180,((((hyp:tok:- AND pre:tok:while) OR hyp:tok:!) OR pre:tok:fast) OR pre:tok:desks)
181,((pre:tok:book AND pre:tok:in) OR pre:tok:tunnel)
182,(hyp:tok:years OR pre:tok:nap)
183,(hyp:tok:in AND pre:tok:rock)
184,(((hyp:tok:lap OR hyp:tok:television) OR hyp:tok:pig) OR hyp:tok:bedroom)
185,((((hyp:tok:helps OR hyp:tok:tunnel) AND pre:tok:is) OR hyp:tok:soap) AND (NOT oth:overlap:overlap25))
186,((((NOT pre:tok:man) AND hyp:tok:wearing) AND hyp:tok:is) OR pre:tok:pet)
187,((((hyp:tok:guitarist OR pre:tok:images) OR hyp:tok:fan) AND oth:overlap:overlap50) AND (NOT pre:tok:down))
188,(((hyp:tok:professional OR pre:tok:ceremony) AND pre:tok:on) OR pre:tok:sunset)
189,(oth:overlap:overlap75 OR pre:tok:items)
190,((hyp:tok:eating AND pre:tok:beach) AND pre:tok:and)
191,(pre:tok:doctors OR pre:tok:numbered)
192,((hyp:tok:robe AND hyp:tok:white) OR hyp:tok:protecting)
193,((((hyp:tok:are AND pre:tok:tent) OR hyp:tok:number) OR hyp:tok:scarves) OR hyp:tok:tiles)
194,((((hyp:tok:tired OR hyp:tok:yellow) AND hyp:tok:man) OR pre:tok:chat) AND (NOT oth:overlap:overlap50))
195,(((hyp:tok:outdoors OR hyp:tok:there) OR hyp:tok:something) OR hyp:tok:trick)
196,(((((NOT oth:overlap:overlap25) AND hyp:tok:couch) AND pre:tok:man) OR hyp:tok:pocket) AND (NOT pre:tok:into))
197,((((hyp:tok:not OR oth:overlap:overlap75) OR hyp:tok:nobody) AND (NOT pre:tok:walking)) AND (NOT pre:tok:young))
198,(NOT hyp:tok:group)
199,((((hyp:tok:drums OR hyp:tok:swimming) OR hyp:tok:roller) OR pre:tok:snowman) AND (NOT oth:overlap:overlap75))
200,((((NOT hyp:tok:to) AND (oth:overlap:overlap50 OR pre:tok:two)) AND (NOT pre:tok:street)) AND (NOT hyp:tok:two))
201,(((hyp:tok:down OR hyp:tok:eating) OR hyp:tok:sleeps) AND (NOT oth:overlap:overlap50))
202,((((hyp:tok:down OR hyp:tok:eating) OR hyp:tok:sleeps) AND (NOT oth:overlap:overlap50)) OR pre:tok:button)
203,((((hyp:tok:pants OR pre:tok:guitar) OR hyp:tok:activity) OR hyp:tok:least) OR hyp:tok:object)
204,(hyp:tok:for OR hyp:tok:park)
205,(((hyp:tok:swimming OR pre:tok:swimming) OR hyp:tok:coffee) OR hyp:tok:television)
206,(((hyp:tok:drums OR hyp:tok:swimming) OR hyp:tok:roller) OR pre:tok:snowman)
207,(((NOT hyp:tok:to) AND (oth:overlap:overlap50 OR pre:tok:two)) AND (NOT pre:tok:street))
208,(hyp:tok:sandwiches OR pre:tok:easter)
209,(((NOT oth:overlap:overlap25) AND pre:tok:on) OR hyp:tok:for)
210,(((NOT oth:overlap:overlap25) AND (hyp:tok:dry OR pre:tok:least)) OR hyp:tok:brushes)
211,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:next)) OR hyp:tok:eating) OR pre:tok:asian)
212,(hyp:tok:middle AND hyp:tok:swimming)
213,(NOT hyp:tok:outside)
214,(((hyp:tok:at OR hyp:tok:her) OR hyp:tok:eating) OR hyp:tok:building)
215,(hyp:tok:bed OR hyp:tok:ocean)
216,((((NOT hyp:tok:are) AND hyp:tok:swimming) AND (NOT oth:overlap:overlap75)) OR hyp:tok:draped)
217,((((NOT oth:overlap:overlap50) AND (pre:tok:pose OR pre:tok:walking)) OR pre:tok:talks) OR pre:tok:grocery)
218,((hyp:tok:home AND pre:tok:at) OR pre:tok:pipe)
219,(hyp:tok:are AND pre:tok:father)
220,(hyp:tok:girl AND hyp:tok:push)
221,(hyp:tok:swimming AND pre:tok:two)
222,((hyp:tok:outside OR oth:overlap:overlap75) OR pre:tok:stand)
223,((((hyp:tok:edge OR hyp:tok:tattoo) AND pre:tok:in) OR hyp:tok:surf) AND pre:tok:is)
224,((hyp:tok:driving OR hyp:tok:field) OR pre:tok:kids)
225,((((hyp:tok:outside OR oth:overlap:overlap75) OR pre:tok:stand) OR pre:tok:arm) AND (NOT hyp:tok:on))
226,(((hyp:tok:writing OR pre:tok:lunch) OR pre:tok:nap) OR pre:tok:surfing)
227,(((hyp:tok:ramp OR hyp:tok:snowball) OR pre:tok:struggling) OR hyp:tok:suspended)
228,((hyp:tok:there AND pre:tok:to) OR pre:tok:crane)
229,(hyp:tok:pool OR hyp:tok:swimming)
230,((((hyp:tok:softball OR pre:tok:upset) AND hyp:tok:man) OR hyp:tok:onlookers) AND pre:tok:in)
231,(((hyp:tok:chasing OR hyp:tok:playing) OR hyp:tok:middle) AND (NOT pre:tok:playing))
232,(hyp:tok:pots OR pre:tok:camping)
233,(NOT pre:tok:some)
234,(hyp:tok:is OR pre:tok:girl)
235,(oth:overlap:overlap50 OR pre:tok:white)
236,((NOT pre:tok:is) AND (hyp:tok:is AND hyp:tok:park))
237,((NOT oth:overlap:overlap25) AND (pre:tok:people OR pre:tok:with))
238,(((hyp:tok:scarves OR pre:tok:easter) OR pre:tok:cook) OR pre:tok:wild)
239,((((hyp:tok:black AND hyp:tok:wearing) OR pre:tok:backpacks) AND (NOT oth:overlap:overlap75)) AND (NOT pre:tok:are))
240,((hyp:tok:old AND pre:tok:white) AND pre:tok:sitting)
241,((NOT pre:tok:his) AND hyp:tok:popsicle)
242,(hyp:tok:at OR pre:tok:bike)
243,(((((NOT pre:tok:two) AND hyp:tok:outside) OR hyp:tok:outdoors) AND (NOT pre:tok:people)) AND (NOT pre:tok:blue))
244,(hyp:tok:lap OR hyp:tok:television)
245,((NOT pre:tok:with) AND (hyp:tok:his OR pre:tok:two))
246,(hyp:tok:herself AND pre:tok:woman)
247,((hyp:tok:guitars OR hyp:tok:spinning) OR hyp:tok:bottles)
248,(((hyp:tok:for OR hyp:tok:to) OR hyp:tok:their) OR hyp:tok:during)
249,((((hyp:tok:computer OR hyp:tok:image) OR hyp:tok:wrestlers) OR hyp:tok:science) OR hyp:tok:produce)
250,(hyp:tok:tall AND pre:tok:two)
251,(NOT pre:tok:running)
252,(((((NOT pre:tok:on) AND hyp:tok:ground) OR hyp:tok:hydrant) OR pre:tok:weather) AND (NOT pre:tok:while))
253,(((NOT oth:overlap:overlap25) AND hyp:tok:sidewalk) OR hyp:tok:within)
254,((NOT pre:tok:men) AND oth:overlap:overlap75)
255,((hyp:tok:indoors OR hyp:tok:machine) OR pre:tok:bearded)
256,((((hyp:tok:house OR pre:tok:leaping) OR pre:tok:leaf) OR hyp:tok:parked) OR hyp:tok:half)
257,((hyp:tok:n't OR hyp:tok:nobody) OR pre:tok:use)
258,((hyp:tok:finished OR pre:tok:enter) OR hyp:tok:bridal)
259,((((hyp:tok:holding OR hyp:tok:wearing) OR pre:tok:skateboard) OR pre:tok:skateboarding) AND (NOT pre:tok:while))
260,(((hyp:tok:edge OR hyp:tok:tattoo) AND pre:tok:in) OR hyp:tok:surf)
261,(((hyp:tok:people AND hyp:tok:snow) AND pre:tok:snow) AND hyp:tok:in)
262,((((hyp:tok:on AND pre:tok:multiple) OR hyp:tok:boards) OR pre:tok:heading) AND (NOT oth:overlap:overlap50))
263,(((hyp:tok:mirror OR hyp:tok:sandwiches) OR hyp:tok:sound) AND (NOT pre:tok:in))
264,((((hyp:tok:empty OR hyp:tok:swimming) AND pre:tok:is) OR pre:tok:giant) OR pre:tok:mirror)
265,((hyp:tok:is OR pre:tok:girl) OR hyp:tok:for)
266,(((((NOT pre:tok:man) AND hyp:tok:wearing) AND hyp:tok:is) OR pre:tok:pet) OR hyp:tok:sleep)
267,(((hyp:tok:swimming OR hyp:tok:waiting) OR hyp:tok:dinner) OR pre:tok:masks)
268,((((NOT pre:tok:on) AND hyp:tok:swimming) AND oth:overlap:overlap25) AND hyp:tok:in)
269,((NOT pre:tok:with) AND (hyp:tok:outdoors OR hyp:tok:outside))
270,(((hyp:tok:friends OR hyp:tok:shopping) OR hyp:tok:sister) OR hyp:tok:trip)
271,((hyp:tok:outdoors OR hyp:tok:there) OR hyp:tok:something)
272,(hyp:tok:are AND hyp:tok:golden)
273,(((hyp:tok:outside AND pre:tok:golfer) OR pre:tok:turns) AND (NOT hyp:tok:is))
274,(((hyp:tok:down OR pre:tok:stage) OR hyp:tok:pool) OR hyp:tok:bench)
275,((hyp:tok:whose OR pre:tok:pumpkin) OR hyp:tok:above)
276,((hyp:tok:finishing OR hyp:tok:shoveling) OR pre:tok:easter)
277,(hyp:tok:tired AND pre:tok:white)
278,((hyp:tok:moon OR hyp:tok:outdoors) OR pre:tok:night)
279,((hyp:tok:walking AND oth:overlap:overlap75) OR hyp:tok:look)
280,((oth:overlap:overlap50 OR pre:tok:play) OR hyp:tok:person)
281,(hyp:tok:people AND hyp:tok:snow)
282,((NOT pre:tok:in) AND hyp:tok:bass)
283,(hyp:tok:lunch OR hyp:tok:sits)
284,((hyp:tok:computer OR hyp:tok:image) OR hyp:tok:wrestlers)
285,((((hyp:tok:asleep OR hyp:tok:nobody) OR hyp:tok:naked) OR hyp:tok:sleeps) OR hyp:tok:nothing)
286,(hyp:tok:sandals OR pre:tok:apartment)
287,((((hyp:tok:female OR hyp:tok:video) AND pre:tok:in) OR hyp:tok:ft) OR pre:tok:chat)
288,((((hyp:tok:swimming OR hyp:tok:tv) OR hyp:tok:blanket) AND (NOT oth:overlap:overlap50)) OR hyp:tok:magazine)
289,((hyp:tok:swimming AND pre:tok:orange) OR hyp:tok:empty)
290,(hyp:tok:swimming OR hyp:tok:waiting)
291,(((NOT pre:tok:running) AND (hyp:tok:chess OR hyp:tok:running)) OR hyp:tok:new)
292,((((hyp:tok:home OR pre:tok:performs) OR hyp:tok:pizza) OR hyp:tok:naked) OR hyp:tok:bed)
293,(pre:tok:skateboarder OR pre:tok:snowman)
294,((((NOT pre:tok:people) AND hyp:tok:nobody) AND (NOT pre:tok:front)) AND (NOT pre:tok:is))
295,((((NOT oth:overlap:overlap50) AND hyp:tok:outdoors) AND (NOT pre:tok:man)) AND (NOT hyp:tok:there))
296,(((pre:tok:design OR pre:tok:placing) OR pre:tok:folding) OR pre:tok:telling)
297,((hyp:tok:lunch OR hyp:tok:sits) OR hyp:tok:chair)
298,(hyp:tok:preparing AND pre:tok:from)
299,((((hyp:tok:among OR pre:tok:puts) AND pre:tok:at) OR pre:tok:television) OR hyp:tok:skate)
300,((hyp:tok:at AND hyp:tok:coffee) AND hyp:tok:drinking)
301,(((hyp:tok:rope OR pre:tok:uniformed) AND hyp:tok:are) OR hyp:tok:sandwiches)
302,(((oth:overlap:overlap50 OR pre:tok:white) OR pre:tok:girl) AND (NOT pre:tok:at))
303,(hyp:tok:swimming OR pre:tok:swimming)
304,((hyp:tok:barely OR hyp:tok:sweater) OR hyp:tok:tie)
305,((((hyp:tok:inside OR hyp:tok:kitchen) OR hyp:tok:bar) AND (NOT oth:overlap:overlap50)) OR pre:tok:cafe)
306,(((((NOT hyp:tok:are) AND hyp:tok:swimming) AND (NOT oth:overlap:overlap75)) OR hyp:tok:draped) AND (NOT pre:tok:his))
307,(((NOT hyp:tok:are) AND hyp:tok:swimming) AND (NOT oth:overlap:overlap75))
308,(hyp:tok:lead AND pre:tok:and)
309,((((hyp:tok:swimming AND pre:tok:orange) OR hyp:tok:empty) AND (NOT pre:tok:on)) OR hyp:tok:sandwiches)
310,(((hyp:tok:running AND pre:tok:woman) OR pre:tok:flowered) OR hyp:tok:i)
311,(hyp:tok:man AND hyp:tok:snowboarder)
312,(pre:tok:living OR pre:tok:shaving)
313,(((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:next)) OR hyp:tok:eating)
314,((((NOT pre:tok:while) AND hyp:tok:is) OR pre:tok:by) AND (NOT hyp:tok:his))
315,((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:blue))
316,((hyp:tok:cows AND pre:tok:people) OR pre:tok:numbers)
317,(hyp:tok:cats AND hyp:tok:various)
318,((((hyp:tok:lap OR hyp:tok:television) OR hyp:tok:pig) OR hyp:tok:bedroom) OR hyp:tok:clean)
319,((((NOT pre:tok:and) AND (hyp:tok:at OR pre:tok:bike)) OR hyp:tok:green) OR hyp:tok:white)
320,((hyp:tok:cross OR hyp:tok:dinner) OR pre:tok:tattoos)
321,((((hyp:tok:is OR hyp:tok:people) OR hyp:tok:woman) AND (NOT pre:tok:street)) AND (NOT hyp:tok:girl))
322,((hyp:tok:home AND pre:tok:seat) OR hyp:tok:waters)
323,(NOT pre:tok:camera)
324,(((((NOT pre:tok:running) AND hyp:tok:running) AND oth:overlap:overlap25) AND (NOT hyp:tok:man)) AND (NOT pre:tok:two))
325,(hyp:tok:humans OR pre:tok:pick)
326,((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:walking))
327,(((hyp:tok:in AND pre:tok:rock) OR hyp:tok:dishes) AND hyp:tok:man)
328,(((NOT hyp:tok:with) AND (hyp:tok:favorite OR hyp:tok:tall)) AND (NOT pre:tok:standing))
329,(((hyp:tok:hoops OR hyp:tok:rollerblading) OR hyp:tok:outer) OR pre:tok:turns)
