,Cluster1,Cluster2,Cluster3,Cluster4
13,((NOT pre:tok:men) AND oth:overlap:overlap75),((hyp:tok:at OR hyp:tok:to) OR hyp:tok:for),((((NOT oth:overlap:overlap50) AND (hyp:tok:black AND hyp:tok:wearing)) AND (NOT hyp:tok:shirt)) OR hyp:tok:knee),(((hyp:tok:event OR hyp:tok:outside) OR hyp:tok:sunny) AND (NOT pre:tok:people))
14,(hyp:tok:speed AND pre:tok:two),((NOT oth:overlap:overlap25) AND (hyp:tok:barefoot OR pre:tok:dump)),(hyp:tok:scouts OR hyp:tok:you),((((NOT pre:tok:water) AND (hyp:tok:swimming OR hyp:tok:without)) OR pre:tok:word) AND (NOT hyp:tok:woman))
15,((((NOT hyp:tok:woman) AND (hyp:tok:is OR pre:tok:are)) AND (NOT pre:tok:his)) AND (NOT hyp:tok:for)),(hyp:tok:mirror OR pre:tok:yelling),((((hyp:tok:bottles OR pre:tok:heading) OR hyp:tok:groom) OR pre:tok:partially) AND (NOT hyp:tok:and)),((NOT pre:tok:group) AND hyp:tok:outside)
16,((hyp:tok:sleeping OR hyp:tok:swimming) OR hyp:tok:cat),((hyp:tok:after OR hyp:tok:for) OR hyp:tok:mother),((hyp:tok:for OR hyp:tok:to) OR hyp:tok:from),(((NOT pre:tok:in) AND hyp:tok:alone) OR hyp:tok:racetrack)
17,((((pre:tok:doctors OR pre:tok:numbered) OR pre:tok:prepare) OR hyp:tok:maroon) OR hyp:tok:balance),((((NOT pre:tok:is) AND (hyp:tok:favorite OR pre:tok:stove)) OR hyp:tok:chat) AND (NOT pre:tok:and)),((hyp:tok:on AND hyp:tok:swimsuit) OR pre:tok:fetch),(hyp:tok:at AND pre:tok:tables)
18,((NOT pre:tok:and) AND (hyp:tok:at OR pre:tok:bike)),(hyp:tok:low OR pre:tok:form),((((NOT pre:tok:in) AND hyp:tok:no) OR hyp:tok:nobody) AND (NOT oth:overlap:overlap25)),(hyp:tok:asleep OR hyp:tok:sleeping)
19,((((hyp:tok:motor OR pre:tok:motor) AND hyp:tok:women) OR hyp:tok:yelling) AND hyp:tok:women),(hyp:tok:humans AND pre:tok:group),(((hyp:tok:bus OR hyp:tok:phone) OR hyp:tok:orchestra) OR pre:tok:!),((NOT hyp:tok:for) AND (hyp:tok:people OR oth:overlap:overlap75))
20,(((hyp:tok:pushing OR pre:tok:raises) OR pre:tok:thinking) OR hyp:tok:wild),(((NOT pre:tok:blue) AND (hyp:tok:during OR oth:overlap:overlap75)) AND (NOT hyp:tok:person)),(NOT pre:tok:playing),((((hyp:tok:cat AND pre:tok:dog) AND oth:overlap:overlap25) AND (NOT pre:tok:and)) AND (NOT pre:tok:on))
21,(((pre:tok:goat OR pre:tok:younger) AND hyp:tok:are) AND (NOT oth:overlap:overlap25)),(hyp:tok:cooking OR hyp:tok:walking),(hyp:tok:run AND pre:tok:league),((hyp:tok:one OR hyp:tok:wearing) OR pre:tok:only)
22,(hyp:tok:small AND pre:tok:swimming),((NOT pre:tok:outside) AND hyp:tok:outside),(((NOT oth:overlap:overlap50) AND (pre:tok:sitting OR pre:tok:yellow)) OR pre:tok:bench),(((hyp:tok:bottles OR pre:tok:poker) AND hyp:tok:is) AND (NOT oth:overlap:overlap50))
23,(hyp:tok:group AND pre:tok:motorcyclists),((((pre:tok:cement AND pre:tok:his) OR hyp:tok:interested) OR hyp:tok:pulled) AND (NOT pre:tok:people)),(((pre:tok:off AND pre:tok:others) OR pre:tok:fetch) OR hyp:tok:buggy),(((hyp:tok:free OR hyp:tok:moon) OR hyp:tok:bath) OR pre:tok:pier)
24,((((hyp:tok:wearing AND pre:tok:to) OR pre:tok:church) OR pre:tok:skate) OR hyp:tok:grill),(hyp:tok:field OR hyp:tok:running),((((hyp:tok:chasing OR hyp:tok:running) OR hyp:tok:diving) AND (NOT oth:overlap:overlap50)) OR hyp:tok:moon),((hyp:tok:hillside OR hyp:tok:walkway) OR hyp:tok:acoustic)
25,((hyp:tok:instruments OR hyp:tok:observe) OR pre:tok:checks),((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:his) OR hyp:tok:at) OR hyp:tok:while),(hyp:tok:in AND pre:tok:stool),((((hyp:tok:group AND pre:tok:gets) OR hyp:tok:curtain) OR hyp:tok:courtyard) OR hyp:tok:burning)
26,((((hyp:tok:- AND pre:tok:while) OR hyp:tok:!) OR pre:tok:fast) OR pre:tok:desks),((((pre:tok:crafts OR pre:tok:flowered) OR pre:tok:mid) OR hyp:tok:sunlight) OR pre:tok:remote),(((hyp:tok:bottles OR pre:tok:heading) OR hyp:tok:groom) OR pre:tok:partially),((((NOT pre:tok:to) AND (hyp:tok:for OR hyp:tok:to)) OR hyp:tok:after) AND (NOT pre:tok:for))
27,((((NOT pre:tok:man) AND hyp:tok:wearing) AND hyp:tok:is) OR pre:tok:pet),((hyp:tok:desert OR hyp:tok:grassy) OR hyp:tok:beige),((((hyp:tok:beard OR hyp:tok:ladies) AND oth:overlap:overlap25) OR hyp:tok:half) AND (NOT pre:tok:in)),(((hyp:tok:marathon AND pre:tok:as) OR pre:tok:;) AND (NOT hyp:tok:on))
28,(hyp:tok:skater AND hyp:tok:sleeping),((((NOT oth:overlap:overlap25) AND (hyp:tok:wearing AND pre:tok:two)) OR pre:tok:n't) AND (NOT pre:tok:with)),((NOT pre:tok:in) AND (hyp:tok:mirror OR hyp:tok:orchestra)),(((hyp:tok:black AND pre:tok:white) AND hyp:tok:is) OR hyp:tok:bandanna)
29,((hyp:tok:edge OR hyp:tok:tattoo) AND pre:tok:in),(((NOT pre:tok:red) AND hyp:tok:red) AND (NOT pre:tok:are)),(((((NOT oth:overlap:overlap25) AND pre:tok:at) OR hyp:tok:alone) OR pre:tok:hair) OR hyp:tok:drinking),(((hyp:tok:khaki OR hyp:tok:safety) OR hyp:tok:classroom) AND oth:overlap:overlap75)
30,((hyp:tok:too AND pre:tok:woman) OR pre:tok:forehead),(hyp:tok:in OR pre:tok:woman),(((NOT pre:tok:to) AND (hyp:tok:are AND hyp:tok:outside)) AND (NOT pre:tok:on)),(hyp:tok:boy AND pre:tok:dress)
31,((hyp:tok:swimming OR hyp:tok:tv) OR hyp:tok:blanket),(hyp:tok:in AND pre:tok:shepherd),(((NOT pre:tok:in) AND hyp:tok:no) OR hyp:tok:nobody),((hyp:tok:chainsaw OR hyp:tok:mask) OR hyp:tok:addressing)
32,((((oth:overlap:overlap50 OR pre:tok:play) OR hyp:tok:person) OR pre:tok:stand) OR hyp:tok:competing),(((((NOT oth:overlap:overlap75) AND hyp:tok:swimming) AND (NOT hyp:tok:pool)) AND (NOT pre:tok:wearing)) AND (NOT pre:tok:with)),((((hyp:tok:outdoors OR hyp:tok:vehicle) OR hyp:tok:moving) OR hyp:tok:feet) OR hyp:tok:been),(((hyp:tok:curly OR hyp:tok:khaki) OR hyp:tok:cute) AND oth:overlap:overlap50)
33,((((hyp:tok:swimming OR hyp:tok:waiting) OR hyp:tok:dinner) OR pre:tok:masks) OR hyp:tok:photographers),((((NOT hyp:tok:in) AND (hyp:tok:people OR oth:overlap:overlap50)) AND (NOT hyp:tok:to)) AND (NOT hyp:tok:girl)),(((NOT pre:tok:his) AND (hyp:tok:sleeping OR pre:tok:land)) OR hyp:tok:nap),((hyp:tok:to AND hyp:tok:walking) OR hyp:tok:coach)
34,((((hyp:tok:preparing AND pre:tok:from) OR pre:tok:upset) OR hyp:tok:passed) AND (NOT hyp:tok:in)),(hyp:tok:asleep OR hyp:tok:sleeping),(((NOT hyp:tok:his) AND (oth:overlap:overlap75 OR pre:tok:making)) OR pre:tok:like),((((NOT pre:tok:walking) AND (hyp:tok:walking AND pre:tok:is)) OR hyp:tok:staircase) AND (NOT pre:tok:red))
35,(oth:overlap:overlap75 OR pre:tok:his),((((NOT pre:tok:and) AND hyp:tok:tall) AND (NOT hyp:tok:is)) AND (NOT pre:tok:one)),((((hyp:tok:no OR hyp:tok:swimming) OR hyp:tok:cats) OR hyp:tok:nap) OR hyp:tok:nobody),((NOT pre:tok:in) AND (hyp:tok:adults OR hyp:tok:cuts))
36,(NOT pre:tok:him),(((hyp:tok:activity AND pre:tok:with) OR hyp:tok:image) AND oth:overlap:overlap50),((((hyp:tok:drinks OR hyp:tok:falls) OR hyp:tok:powerpoint) OR hyp:tok:rollerblading) OR hyp:tok:beam),(((hyp:tok:to AND hyp:tok:walking) OR hyp:tok:coach) OR hyp:tok:played)
37,((((hyp:tok:groom OR hyp:tok:toothbrush) OR hyp:tok:chat) OR hyp:tok:buildings) OR pre:tok:owner),((((hyp:tok:conversation OR pre:tok:lying) AND pre:tok:in) OR hyp:tok:traditional) AND (NOT pre:tok:young)),(((NOT oth:overlap:overlap50) AND pre:tok:on) OR hyp:tok:eating),(hyp:tok:wearing AND pre:tok:stringed)
38,(hyp:tok:groom OR hyp:tok:toothbrush),(hyp:tok:dock AND pre:tok:river),((((hyp:tok:brushes OR hyp:tok:rollerblading) OR hyp:tok:you) OR hyp:tok:roller) AND (NOT oth:overlap:overlap25)),(hyp:tok:booth OR pre:tok:skiing)
39,((((hyp:tok:home OR pre:tok:performs) OR hyp:tok:pizza) OR hyp:tok:naked) OR hyp:tok:bed),((hyp:tok:eating OR hyp:tok:office) AND hyp:tok:in),(((hyp:tok:hate OR hyp:tok:skateboarding) OR pre:tok:heels) AND (NOT pre:tok:on)),(hyp:tok:than OR pre:tok:males)
40,(((pre:tok:little OR pre:tok:young) OR hyp:tok:has) OR hyp:tok:about),((((hyp:tok:eating OR hyp:tok:sitting) OR hyp:tok:asleep) AND (NOT pre:tok:sitting)) OR hyp:tok:swimming),((hyp:tok:at AND hyp:tok:home) OR hyp:tok:couch),((hyp:tok:sits AND pre:tok:walking) OR hyp:tok:maroon)
41,((hyp:tok:on AND pre:tok:multiple) OR hyp:tok:boards),(((NOT pre:tok:sitting) AND (hyp:tok:blue OR hyp:tok:sitting)) AND (NOT pre:tok:blue)),((hyp:tok:couple AND pre:tok:sunset) OR hyp:tok:move),(hyp:tok:to AND pre:tok:cooks)
42,(pre:tok:man OR pre:tok:with),(((hyp:tok:in AND oth:overlap:overlap50) OR hyp:tok:red) OR hyp:tok:cream),(((NOT oth:overlap:overlap50) AND (hyp:tok:is OR pre:tok:in)) OR hyp:tok:for),(((hyp:tok:race AND pre:tok:track) OR pre:tok:burning) OR hyp:tok:come)
43,((hyp:tok:step OR pre:tok:checkered) OR hyp:tok:bread),((((hyp:tok:sleeping OR hyp:tok:swimming) OR hyp:tok:tv) OR hyp:tok:indoors) OR hyp:tok:asleep),(pre:tok:motorcycles OR pre:tok:set),(((hyp:tok:hillside OR hyp:tok:walkway) OR hyp:tok:acoustic) OR hyp:tok:balding)
44,(NOT pre:tok:sitting),((hyp:tok:opponent OR hyp:tok:shaped) OR hyp:tok:sticks),(((hyp:tok:ladies OR pre:tok:lost) OR pre:tok:neighborhood) OR hyp:tok:you),(((hyp:tok:nobody OR hyp:tok:sleeping) OR hyp:tok:asleep) OR hyp:tok:naked)
45,(((hyp:tok:empty OR hyp:tok:swimming) AND pre:tok:is) OR pre:tok:giant),(((NOT oth:overlap:overlap25) AND (hyp:tok:low OR pre:tok:form)) OR hyp:tok:brushes),(pre:tok:married OR pre:tok:sleeps),(((hyp:tok:women AND pre:tok:men) AND pre:tok:two) OR hyp:tok:ladies)
46,(((hyp:tok:to OR pre:tok:street) OR hyp:tok:old) OR hyp:tok:eating),((((hyp:tok:tools OR pre:tok:jet) AND hyp:tok:is) OR pre:tok:napping) OR pre:tok:artwork),((((hyp:tok:brothers AND pre:tok:trampoline) OR hyp:tok:fetch) AND pre:tok:in) AND (NOT pre:tok:with)),(((hyp:tok:eating OR hyp:tok:tv) AND hyp:tok:are) AND (NOT pre:tok:people))
47,(pre:tok:people OR pre:tok:with),(((NOT pre:tok:men) AND hyp:tok:men) OR hyp:tok:puzzle),((((hyp:tok:at AND hyp:tok:home) OR hyp:tok:couch) OR hyp:tok:sofa) AND (NOT pre:tok:her)),((hyp:tok:visiting OR pre:tok:urban) AND pre:tok:older)
48,((hyp:tok:asleep OR hyp:tok:nobody) OR hyp:tok:naked),(hyp:tok:human AND pre:tok:wearing),(hyp:tok:nobody AND pre:tok:large),(hyp:tok:beach AND pre:tok:running)
49,((((hyp:tok:apartment OR hyp:tok:creating) OR hyp:tok:caught) OR hyp:tok:cow) AND (NOT pre:tok:with)),(((hyp:tok:some AND hyp:tok:this) OR pre:tok:sister) OR pre:tok:pick),((NOT oth:overlap:overlap50) AND (hyp:tok:fishing OR pre:tok:decorative)),((hyp:tok:sleeping AND pre:tok:dog) OR pre:tok:sunlight)
50,((hyp:tok:eating AND pre:tok:beach) AND pre:tok:and),(hyp:tok:jumped OR hyp:tok:television),(hyp:tok:human OR hyp:tok:people),(((NOT oth:overlap:overlap50) AND hyp:tok:inside) AND (NOT hyp:tok:people))
51,((hyp:tok:fire AND pre:tok:women) OR hyp:tok:sunlight),((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR hyp:tok:playing)) OR hyp:tok:nobody) OR hyp:tok:sleeping),(hyp:tok:football AND pre:tok:shoot),(hyp:tok:inside OR hyp:tok:sitting)
52,(hyp:tok:cafeteria AND pre:tok:behind),((((NOT pre:tok:and) AND hyp:tok:sleeping) AND (NOT oth:overlap:overlap50)) AND (NOT pre:tok:men)),((pre:tok:cleaning AND pre:tok:person) OR hyp:tok:sing),(hyp:tok:paddle AND pre:tok:wearing)
53,((((hyp:tok:ocean OR pre:tok:dogs) OR hyp:tok:sleeps) OR pre:tok:weather) OR hyp:tok:parked),((hyp:tok:cooking OR hyp:tok:walking) OR hyp:tok:school),(((((NOT pre:tok:young) AND hyp:tok:young) OR hyp:tok:yellow) OR pre:tok:nose) AND (NOT pre:tok:with)),((hyp:tok:beach AND pre:tok:running) OR pre:tok:museum)
54,(hyp:tok:for AND hyp:tok:walmart),((hyp:tok:naked OR hyp:tok:swimming) OR pre:tok:winter),(((hyp:tok:for OR hyp:tok:to) OR hyp:tok:his) OR hyp:tok:after),((((hyp:tok:tall OR pre:tok:few) OR hyp:tok:halloween) AND (NOT oth:overlap:overlap25)) AND (NOT pre:tok:on))
55,((((pre:tok:little OR pre:tok:young) OR hyp:tok:has) OR hyp:tok:about) OR pre:tok:suit),(((NOT pre:tok:black) AND hyp:tok:black) AND (NOT pre:tok:blue)),(hyp:tok:singing AND pre:tok:shaving),(hyp:tok:football AND pre:tok:shoot)
56,((NOT oth:overlap:overlap50) AND (hyp:tok:in OR pre:tok:walking)),((hyp:tok:some AND hyp:tok:this) OR pre:tok:sister),((pre:tok:seems OR pre:tok:skiing) OR hyp:tok:cigarette),(hyp:tok:couple AND pre:tok:countryside)
57,((NOT oth:overlap:overlap50) AND (hyp:tok:are OR hyp:tok:is)),(hyp:tok:tired AND pre:tok:men),(((hyp:tok:down AND pre:tok:she) OR hyp:tok:short) OR hyp:tok:blows),(((hyp:tok:booth OR pre:tok:skiing) AND pre:tok:white) OR hyp:tok:japanese)
58,(((hyp:tok:finishing OR hyp:tok:shoveling) OR pre:tok:easter) OR hyp:tok:rack),(((((NOT pre:tok:black) AND hyp:tok:black) OR hyp:tok:brown) AND (NOT pre:tok:and)) AND (NOT pre:tok:with)),(hyp:tok:his AND oth:overlap:overlap75),(pre:tok:barn OR pre:tok:ocean)
59,((((hyp:tok:running AND pre:tok:woman) OR pre:tok:flowered) OR hyp:tok:i) OR pre:tok:picking),((hyp:tok:clock OR hyp:tok:curly) OR hyp:tok:!),((oth:overlap:overlap75 OR pre:tok:suit) AND pre:tok:in),(((hyp:tok:ladies OR hyp:tok:surfboard) AND oth:overlap:overlap25) OR pre:tok:injured)
60,(((hyp:tok:n't OR hyp:tok:nobody) OR pre:tok:use) OR pre:tok:rink),((hyp:tok:party OR hyp:tok:professional) AND pre:tok:on),(hyp:tok:sitting AND pre:tok:staring),(hyp:tok:girl AND pre:tok:boy)
61,((hyp:tok:arms AND pre:tok:black) OR hyp:tok:hooded),((((hyp:tok:for OR pre:tok:sitting) OR hyp:tok:tall) OR hyp:tok:running) AND (NOT oth:overlap:overlap75)),(hyp:tok:ladies OR pre:tok:lost),((pre:tok:and AND pre:tok:indoor) OR hyp:tok:hugging)
62,(hyp:tok:helps OR hyp:tok:tunnel),(hyp:tok:bar OR hyp:tok:volleyball),(hyp:tok:drinks OR hyp:tok:falls),(((NOT pre:tok:to) AND (hyp:tok:for OR hyp:tok:to)) OR hyp:tok:after)
63,((NOT oth:overlap:overlap25) AND (hyp:tok:dry OR pre:tok:least)),(hyp:tok:rollerskating OR hyp:tok:surfing),(((hyp:tok:running OR hyp:tok:sleeping) OR hyp:tok:alone) AND (NOT pre:tok:running)),(hyp:tok:diving AND pre:tok:young)
64,((hyp:tok:friends AND hyp:tok:group) OR hyp:tok:sad),((((hyp:tok:ball AND pre:tok:dog) OR pre:tok:shown) AND (NOT pre:tok:are)) OR pre:tok:chases),((((NOT pre:tok:to) AND (hyp:tok:are AND hyp:tok:outside)) AND (NOT pre:tok:on)) AND (NOT hyp:tok:and)),(((pre:tok:barn OR pre:tok:ocean) OR hyp:tok:bathtub) AND pre:tok:in)
65,(((hyp:tok:finished OR pre:tok:enter) OR hyp:tok:bridal) OR hyp:tok:snowshoes),((hyp:tok:you AND pre:tok:-) OR pre:tok:closed),(((hyp:tok:acoustic OR hyp:tok:hillside) OR pre:tok:lost) OR pre:tok:thinking),((((NOT pre:tok:to) AND (hyp:tok:outside OR hyp:tok:people)) AND (NOT pre:tok:street)) AND (NOT pre:tok:white))
66,(((hyp:tok:in OR pre:tok:while) OR pre:tok:race) OR pre:tok:child),(((NOT oth:overlap:overlap75) AND (hyp:tok:in OR hyp:tok:sitting)) OR hyp:tok:inside),(((hyp:tok:alone OR hyp:tok:eating) OR hyp:tok:television) OR hyp:tok:inside),(((((NOT pre:tok:in) AND hyp:tok:alone) OR hyp:tok:racetrack) AND (NOT pre:tok:is)) AND (NOT hyp:tok:on))
67,((NOT pre:tok:with) AND (hyp:tok:outdoors OR hyp:tok:outside)),(hyp:tok:tricks AND pre:tok:flipping),(hyp:tok:eating OR hyp:tok:sleeping),(hyp:tok:inside AND pre:tok:on)
68,(((hyp:tok:herself AND pre:tok:woman) OR hyp:tok:cameras) AND (NOT pre:tok:with)),((NOT pre:tok:in) AND (hyp:tok:dancing OR hyp:tok:field)),((hyp:tok:outside OR hyp:tok:something) OR hyp:tok:near),(NOT pre:tok:basketball)
69,(hyp:tok:people AND hyp:tok:snow),((((hyp:tok:nobody OR hyp:tok:swimming) OR hyp:tok:asleep) OR hyp:tok:cat) OR hyp:tok:naked),((((hyp:tok:clothing OR pre:tok:garage) AND pre:tok:man) OR pre:tok:humans) OR pre:tok:training),((NOT pre:tok:in) AND hyp:tok:alone)
70,(hyp:tok:least OR pre:tok:put),(hyp:tok:wearing AND pre:tok:two),(((NOT pre:tok:in) AND (hyp:tok:mirror OR hyp:tok:orchestra)) OR pre:tok:training),(((pre:tok:and AND pre:tok:gym) OR hyp:tok:cool) AND pre:tok:and)
71,(hyp:tok:writing OR pre:tok:lunch),(hyp:tok:asleep AND pre:tok:street),(((hyp:tok:chinese OR pre:tok:resting) OR hyp:tok:steering) OR hyp:tok:clock),((((hyp:tok:stopped OR pre:tok:gymnasium) AND hyp:tok:are) OR pre:tok:musicians) AND (NOT pre:tok:on))
72,((NOT oth:overlap:overlap50) AND (hyp:tok:dog OR hyp:tok:playing)),((hyp:tok:playing AND pre:tok:swimming) OR hyp:tok:swims),((((hyp:tok:for OR hyp:tok:tall) OR hyp:tok:parade) AND (NOT pre:tok:at)) OR hyp:tok:championship),((hyp:tok:driving OR hyp:tok:sleeping) OR hyp:tok:moon)
73,(NOT pre:tok:boy),(hyp:tok:glass AND pre:tok:blond),(hyp:tok:alone OR hyp:tok:eating),(hyp:tok:hoping OR hyp:tok:last)
74,(((hyp:tok:cross OR hyp:tok:dinner) OR pre:tok:tattoos) OR pre:tok:climbs),((NOT pre:tok:man) AND (hyp:tok:mirror OR pre:tok:yelling)),(((((NOT oth:overlap:overlap25) AND pre:tok:man) AND pre:tok:is) OR pre:tok:baby) OR pre:tok:performer),(NOT pre:tok:him)
75,((NOT pre:tok:in) AND hyp:tok:bass),((NOT pre:tok:in) AND hyp:tok:blouse),((((NOT oth:overlap:overlap25) AND (hyp:tok:half OR pre:tok:rooftop)) OR pre:tok:traveling) AND (NOT oth:overlap:overlap25)),((hyp:tok:groups OR pre:tok:poker) AND hyp:tok:standing)
76,(pre:tok:body AND pre:tok:brown),((((NOT pre:tok:white) AND hyp:tok:white) OR hyp:tok:heels) AND pre:tok:and),((hyp:tok:down AND pre:tok:along) AND hyp:tok:people),((NOT oth:overlap:overlap25) AND pre:tok:sitting)
77,(hyp:tok:smiling AND pre:tok:smile),(((hyp:tok:there OR oth:overlap:overlap50) OR hyp:tok:outside) OR pre:tok:red),((((hyp:tok:denim OR hyp:tok:hug) AND pre:tok:woman) OR hyp:tok:pipes) AND (NOT hyp:tok:are)),(hyp:tok:fixing AND pre:tok:kite)
78,(hyp:tok:carrot OR hyp:tok:yelling),(((hyp:tok:signs OR hyp:tok:tv) AND hyp:tok:are) OR hyp:tok:skydiving),(hyp:tok:no OR hyp:tok:swimming),(((hyp:tok:boy AND pre:tok:dress) OR hyp:tok:buddhist) OR hyp:tok:sunlight)
79,(((NOT pre:tok:on) AND hyp:tok:ground) OR hyp:tok:hydrant),(((NOT pre:tok:to) AND (hyp:tok:for OR hyp:tok:to)) OR hyp:tok:home),(((hyp:tok:eight OR hyp:tok:ring) AND pre:tok:red) OR pre:tok:images),((hyp:tok:blue AND pre:tok:red) AND pre:tok:shirt)
80,((((hyp:tok:home AND pre:tok:at) OR pre:tok:pipe) OR hyp:tok:championship) OR hyp:tok:golden),((((hyp:tok:in AND oth:overlap:overlap50) OR hyp:tok:red) OR hyp:tok:cream) OR hyp:tok:cat),(((hyp:tok:sleeping AND pre:tok:on) OR hyp:tok:sound) AND (NOT pre:tok:man)),((hyp:tok:bus OR hyp:tok:clown) OR hyp:tok:moon)
81,((((hyp:tok:suit OR pre:tok:courtyard) OR hyp:tok:robe) OR pre:tok:bus) AND (NOT hyp:tok:on)),((((hyp:tok:costume OR pre:tok:upwards) OR hyp:tok:sticks) AND (NOT pre:tok:is)) OR hyp:tok:stream),((hyp:tok:there OR oth:overlap:overlap50) OR hyp:tok:outdoors),(((hyp:tok:bus OR hyp:tok:clown) OR hyp:tok:moon) OR hyp:tok:stroller)
82,(((hyp:tok:blanket AND pre:tok:through) OR pre:tok:jumped) AND hyp:tok:on),((((hyp:tok:sitting OR hyp:tok:sleeping) OR pre:tok:riding) OR hyp:tok:alone) AND (NOT pre:tok:sitting)),(((NOT oth:overlap:overlap25) AND hyp:tok:in) OR hyp:tok:sleeping),(hyp:tok:not AND pre:tok:two)
83,((hyp:tok:swimming OR hyp:tok:waiting) OR hyp:tok:dinner),(((hyp:tok:clock OR hyp:tok:curly) OR hyp:tok:!) AND pre:tok:and),(hyp:tok:outdoors AND pre:tok:stream),((((hyp:tok:there OR oth:overlap:overlap75) OR hyp:tok:near) OR hyp:tok:holding) OR hyp:tok:human)
84,(((hyp:tok:sad OR pre:tok:snow) OR hyp:tok:gesturing) OR pre:tok:easter),((hyp:tok:human OR hyp:tok:tools) OR hyp:tok:straight),((hyp:tok:present OR hyp:tok:surrounded) OR hyp:tok:course),(((hyp:tok:name OR pre:tok:pumpkin) AND hyp:tok:boy) OR hyp:tok:sunlight)
